"Analysis","Analysis_levels","TimeofManipulation","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","z","p","Q","tau2.studylevel","tau2.outcomelevel","I2","Q.pval"
"FocalAnalysis_Step2_Individual_technique","Film-related rumination","Immediate + delayed post","All","Intrusion frequency","Intrusion diary","no","139","2","2","2","-0.326685042328828"," [-0.86, 0.20]","-1.21034980886511","0.226144692528141","1.93009880629339","0.036504052882662","0.0365040529190082","48.1891809513421","0.164747635395298"
"FocalAnalysis_Step2_Individual_technique","Non-film related rumination","Immediate + delayed post","All","Intrusion frequency","Intrusion diary","no","57","1","1","1","-0.48948"," [-1.14, 0.16]","-1.466365069","0.142548857",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Open-label placebo","Immediate + delayed post","All","Intrusion frequency","Intrusion diary","no","112","1","1","1","0.07257"," [-0.38, 0.53]","0.311922523","0.755099405",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Deceptive placebo","Immediate + delayed post","All","Intrusion frequency","Intrusion diary","yes","112","1","1","1","0.27759"," [-0.17, 0.73]","1.204189737","0.228516252",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Film-related rumination","Immediate + delayed post","All","Intrusion frequency","Intrusion diary","yes","139","2","2","2","-0.326685042328828"," [-0.86, 0.20]","-1.21034980886511","0.226144692528141","1.93009880629339","0.036504052882662","0.0365040529190082","48.1891809513421","0.164747635395298"
"FocalAnalysis_Step2_Individual_technique","Non-film related rumination","Immediate + delayed post","All","Intrusion frequency","Intrusion diary","yes","57","1","1","1","-0.48948"," [-1.14, 0.16]","-1.466365069","0.142548857",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Open-label placebo","Immediate + delayed post","All","Intrusion frequency","Intrusion diary","yes","112","1","1","1","0.07257"," [-0.38, 0.53]","0.311922523","0.755099405",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Attentional bias modification","Immediate post","All","Intrusion frequency","Intrusion diary","no","45","1","1","1","0.73769"," [0.13, 1.34]","2.393657634","0.016681312",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Autobiographical memory elaboration","Immediate post","All","Intrusion frequency","Intrusion diary","no","101","1","1","1","0.00665"," [-0.47, 0.48]","0.027299517","0.978220842",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Bilateral eye movement","Immediate post","All","Intrusion frequency","Intrusion diary","no","66","1","1","2","0.680145660303875"," [0.33, 1.03]","3.79698797971246","0.000146464888561143","0.0288486365407092","0","0.00000000000791861118367976","0.0000000123390902730077","0.865128997416513"
"FocalAnalysis_Step2_Individual_technique","Block rehearsal + thought suppression","Immediate post","All","Intrusion frequency","Intrusion diary","no","120","1","1","1","0.35727"," [-0.21, 0.93]","1.227868136","0.219496473",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Challenged vs. Unchallenged memory","Immediate post","All","Intrusion frequency","Intrusion diary","no","61","1","1","1","0.35567"," [-0.01, 0.72]","1.91668877","0.055277483",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Clay modeling","Immediate post","All","Intrusion frequency","Intrusion diary","no","41","1","1","3","-0.050991665671354"," [-0.56, 0.46]","-0.19745696754259","0.843469953364809","0.00175011700366928","0","0.00000000000495999388656756","0.00000000247917058263053","0.999125324250205"
"FocalAnalysis_Step2_Individual_technique","Dog interaction film","Immediate post","All","Intrusion frequency","Intrusion diary","no","60","1","1","1","-0.07471"," [-0.69, 0.55]","-0.23616351","0.813305793",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Exercise","Immediate post","All","Intrusion frequency","Intrusion diary","no","71","1","1","1","-0.15879"," [-0.73, 0.41]","-0.5433205","0.586909152",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Expressive vs. Factual trauma disclosure","Immediate post","All","Intrusion frequency","Intrusion diary","no","73","1","1","1","0.20599"," [-0.26, 0.67]","0.870998785","0.383754816",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Extinction","Immediate post","All","Intrusion frequency","Intrusion diary","no","84","1","1","1","0.23625"," [-0.23, 0.70]","0.998021326","0.318269018",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Field perspective recall","Immediate post","All","Intrusion frequency","Intrusion diary","no","85","1","1","1","-0.59276"," [-1.15, -0.03]","-2.068133345","0.038627486",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Field vs. Observer perspective recall","Immediate post","All","Intrusion frequency","Intrusion diary","no","85","1","1","1","-0.42373"," [-0.98, 0.14]","-1.480412852","0.138763102",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Film-related rumination","Immediate post","All","Intrusion frequency","Intrusion diary","no","287","3","4","4","-0.382241986966367"," [-1.26, 0.50]","-0.853763046448201","0.393236293478392","18.9333236547758","0.352791267886789","0.352791267739019","89.4598844944776","0.000282216214587417"
"FocalAnalysis_Step2_Individual_technique","Film-related rumination vs. Autobiographical memory elaboration","Immediate post","All","Intrusion frequency","Intrusion diary","no","101","1","1","1","-0.13384"," [-0.61, 0.34]","-0.548492202","0.583353983",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Finger tapping","Immediate post","All","Intrusion frequency","Intrusion diary","no","60","1","1","1","0.68113"," [0.04, 1.32]","2.094072785","0.036253497",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Guilt induction","Immediate post","All","Intrusion frequency","Intrusion diary","no","39","1","1","1","-1.42646"," [-2.13, -0.72]","-3.975938613","0.0000701",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Hydrocortisone","Immediate post","All","Intrusion frequency","Intrusion diary","no","88","1","1","1","0.60506"," [0.08, 1.13]","2.253031142","0.024257186",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Hyperventilation provocation + thought suppression","Immediate post","All","Intrusion frequency","Intrusion diary","no","120","1","1","1","0.28866"," [-0.28, 0.86]","0.994797118","0.319834948",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Imagery re-experience","Immediate post","All","Intrusion frequency","Intrusion diary","no","609","6","6","7","0.0785046789070128"," [-0.19, 0.35]","0.571331721340942","0.567774802918039","9.16144497885773","0.0392253410710303","0.0000000000572883108481702","32.8123643954756","0.16470003283964"
"FocalAnalysis_Step2_Individual_technique","Imagery re-experience + eye movement","Immediate post","All","Intrusion frequency","Intrusion diary","no","250","1","3","3","0.489505982571162"," [0.13, 0.85]","2.66705530214629","0.00765190795475325","2.46855763476824","0.0089894118924403","0.0089894118924403","17.7844670076513","0.291044582992965"
"FocalAnalysis_Step2_Individual_technique","Imagery re-experience + number counting","Immediate post","All","Intrusion frequency","Intrusion diary","no","250","1","3","3","0.560905436699615"," [0.12, 1.00]","2.51138440194863","0.0120258665259603","3.55571264504489","0.0327231340743755","0.0327231340670034","43.7280747534099","0.169000040819694"
"FocalAnalysis_Step2_Individual_technique","Imagery re-experience + traumagameplay2","Immediate post","All","Intrusion frequency","Intrusion diary","no","120","1","1","2","-0.346076724275677"," [-0.71, 0.02]","-1.86519238553255","0.0621544424885412","0.0719787495461477","0","0.00000000000802742474895592","0.0000000116584485484279","0.788477214041238"
"FocalAnalysis_Step2_Individual_technique","Imagery re-experience vs. Positive imagery","Immediate post","All","Intrusion frequency","Intrusion diary","no","76","1","1","1","-0.2529"," [-0.80, 0.29]","-0.907546533","0.364117854",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Imagery rescripting","Immediate post","All","Intrusion frequency","Intrusion diary","no","319","3","3","5","0.285746210045727"," [-0.08, 0.65]","1.54115178237842","0.123279849531423","8.52373920428204","0.0000000000707650535392505","0.0910553558649207","53.0098634363198","0.0741709139549729"
"FocalAnalysis_Step2_Individual_technique","Imagery rescripting vs. Imagery re-experience","Immediate post","All","Intrusion frequency","Intrusion diary","no","116","2","2","3","0.473760503865021"," [-0.40, 1.34]","1.06673582054891","0.286091146960411","5.93678620941839","0.324838123484955","0.0000000000318792356755371","76.8936342171606","0.0513858156506451"
"FocalAnalysis_Step2_Individual_technique","Imagery rescripting vs. Positive imagery","Immediate post","All","Intrusion frequency","Intrusion diary","no","76","1","1","1","0.63751"," [0.07, 1.20]","2.216986133","0.026624039",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Imagery trauma elaboration","Immediate post","All","Intrusion frequency","Intrusion diary","no","106","1","1","1","0.47249"," [0.09, 0.86]","2.399045829","0.016437857",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Letter cancellation task","Immediate post","All","Intrusion frequency","Intrusion diary","no","70","1","1","1","-0.54921"," [-1.30, 0.21]","-1.426423851","0.153746033",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Memorize numbers","Immediate post","All","Intrusion frequency","Intrusion diary","no","80","1","1","1","-0.39558"," [-1.02, 0.23]","-1.238889651","0.215386367",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Memorize numbers + thought suppression","Immediate post","All","Intrusion frequency","Intrusion diary","no","200","2","2","2","-0.130278639049056"," [-1.59, 1.33]","-0.175208997722487","0.860915414534619","11.2346413369228","0.503723459693764","0.503723459693764","91.098959276365","0.00080284619362808"
"FocalAnalysis_Step2_Individual_technique","Memory test","Immediate post","All","Intrusion frequency","Intrusion diary","no","52","1","1","1","0.35993"," [-0.03, 0.75]","1.820611417","0.068665946",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Mindfulness vs. Muscle relaxation","Immediate post","All","Intrusion frequency","Intrusion diary","no","60","1","1","1","-0.16979"," [-0.71, 0.37]","-0.616842451","0.537338649",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Negative expectation towards intrusion","Immediate post","All","Intrusion frequency","Intrusion diary","no","89","1","1","1","0.20386"," [-0.28, 0.69]","0.819577617","0.412456938",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Negative feedback","Immediate post","All","Intrusion frequency","Intrusion diary","no","72","1","1","2","0.321334424507153"," [-0.08, 0.72]","1.56150318273442","0.118405073479951","0.651066547042852","0","0.00000000000041012294039805","0.000000000484149380706014","0.41973161910038"
"FocalAnalysis_Step2_Individual_technique","Negative social reappraisal","Immediate post","All","Intrusion frequency","Intrusion diary","no","181","1","1","1","0.66088"," [0.28, 1.04]","3.435098584","0.000592338",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Neutral attention walk","Immediate post","All","Intrusion frequency","Intrusion diary","no","60","1","1","1","-0.43382"," [-0.95, 0.08]","-1.66075263","0.096763138",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Nitrous oxide","Immediate post","All","Intrusion frequency","Intrusion diary","no","50","1","1","1","-0.0884"," [-0.64, 0.47]","-0.312383475","0.754749107",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Non-film related rumination","Immediate post","All","Intrusion frequency","Intrusion diary","no","70","1","1","1","-1.022"," [-1.81, -0.23]","-2.543034164","0.010989448",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Number counting","Immediate post","All","Intrusion frequency","Intrusion diary","no","101","2","2","7","0.305175102885406"," [-0.29, 0.90]","1.01050793531145","0.31225199954124","7.23801493482602","0.120883921272516","0.000000000203289867224116","39.8307722397311","0.299395632024814"
"FocalAnalysis_Step2_Individual_technique","Observer perspective recall","Immediate post","All","Intrusion frequency","Intrusion diary","no","85","1","1","1","-0.00874"," [-0.55, 0.53]","-0.031804633","0.974627852",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Oxytocin","Immediate post","All","Intrusion frequency","Intrusion diary","no","202","1","1","1","0.12619"," [-0.15, 0.40]","0.895855348","0.370330025",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Past vs. Now verbal training","Immediate post","All","Intrusion frequency","Intrusion diary","no","96","1","1","3","0.00852176639999971"," [-0.15, 0.17]","0.102253019494722","0.918555844784876","0.264002432973512","0","0.00000000000340955295926784","0.0000000163632365027991","0.876339929022807"
"FocalAnalysis_Step2_Individual_technique","Positive expectation towards intrusion","Immediate post","All","Intrusion frequency","Intrusion diary","no","89","1","1","1","0.56996"," [0.03, 1.11]","2.083698566","0.037187595",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Positive social reappraisal","Immediate post","All","Intrusion frequency","Intrusion diary","no","181","1","1","1","0.1337"," [-0.24, 0.50]","0.706659031","0.479778395",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Positive vs. Negative cbm training","Immediate post","All","Intrusion frequency","Intrusion diary","no","341","3","3","4","0.158839047187834"," [-0.12, 0.44]","1.10259044693059","0.27020506068588","4.46756030175534","0.0213473708344064","0.00457578219382755","35.3155351861152","0.215202150360831"
"FocalAnalysis_Step2_Individual_technique","Propranolol","Immediate post","All","Intrusion frequency","Intrusion diary","no","88","1","1","1","0.44628"," [-0.07, 0.96]","1.692787332","0.090495955",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Prosocial behavior","Immediate post","All","Intrusion frequency","Intrusion diary","no","180","1","2","2","0.48315540865395"," [0.19, 0.78]","3.19424459608019","0.00140197277282911","0.138904747596154","0.00000000000643158545410444","0.00000000000643158545410447","0.0000000281100762775198","0.709372278097283"
"FocalAnalysis_Step2_Individual_technique","Self efficacy","Immediate post","All","Intrusion frequency","Intrusion diary","no","74","1","1","2","0.242808861408323"," [-0.31, 0.80]","0.859518159368498","0.390054705673203","1.85839627727035","0","0.0737747905070777","46.1901372853407","0.172810007008544"
"FocalAnalysis_Step2_Individual_technique","Sleep","Immediate post","All","Intrusion frequency","Intrusion diary","no","477","7","7","7","0.27100923281383"," [0.07, 0.47]","2.68052093256484","0.00735076668812107","7.4329566051007","0.00136329713034779","0.00136329713709276","3.77831203464506","0.282654996474161"
"FocalAnalysis_Step2_Individual_technique","Social comparison","Immediate post","All","Intrusion frequency","Intrusion diary","no","120","1","1","9","0.340147830334675"," [0.17, 0.51]","3.91594405867129","0.0000900511287443533","4.34229551003286","0","0.00000000000413172398516051","0.00000000608432225866037","0.824995743177777"
"FocalAnalysis_Step2_Individual_technique","Social support","Immediate post","All","Intrusion frequency","Intrusion diary","no","81","1","1","1","-0.19269"," [-0.74, 0.36]","-0.685251018","0.493185535",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Tetris","Immediate post","All","Intrusion frequency","Intrusion diary","no","71","1","1","1","0.07006"," [-0.50, 0.64]","0.240024597","0.810311189",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Therapy dog interaction","Immediate post","All","Intrusion frequency","Intrusion diary","no","60","1","1","1","-0.4555"," [-1.08, 0.17]","-1.422081482","0.155002598",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Thought suppression","Immediate post","All","Intrusion frequency","Intrusion diary","no","200","2","2","2","0.0442979905292877"," [-0.37, 0.46]","0.207531741891141","0.835594605790686","0.368950795188592","0.00000000000115361698790098","0.00000000000115361698790098","0.0000000025115484414565","0.543576730786248"
"FocalAnalysis_Step2_Individual_technique","Threat attention walk","Immediate post","All","Intrusion frequency","Intrusion diary","no","60","1","1","1","0.06829"," [-0.44, 0.57]","0.264402593","0.791469714",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Threat vs. Neutral attention walk","Immediate post","All","Intrusion frequency","Intrusion diary","no","60","1","1","1","-0.50684"," [-1.02, 0.01]","-1.932209741","0.053333623",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma re-exposure","Immediate post","All","Intrusion frequency","Intrusion diary","no","115","1","1","1","-0.04336"," [-0.49, 0.40]","-0.191189418","0.848377194",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma re-exposure + verbal update","Immediate post","All","Intrusion frequency","Intrusion diary","no","115","1","1","1","0.49956"," [0.04, 0.96]","2.115937217","0.034350148",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder +  visual stimulation imagery","Immediate post","All","Intrusion frequency","Intrusion diary","no","114","1","1","3","-0.463450306516793"," [-0.73, -0.20]","-3.42652781156411","0.000611351152310976","0.872934069793611","0","0.00000000000643980745047012","0.00000001173319918461","0.646315803402202"
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + d-corsi vs. Trauma reminder","Immediate post","All","Intrusion frequency","Intrusion diary","no","107","1","1","1","0.02045"," [-0.45, 0.50]","0.084298353","0.932819222",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + finger tapping","Immediate post","All","Intrusion frequency","Intrusion diary","no","75","1","1","1","0.57235"," [0.01, 1.14]","1.983361627","0.04732705",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + imagery rescripting vs. Trauma reminder","Immediate post","All","Intrusion frequency","Intrusion diary","no","60","1","1","1","0.44729"," [-0.18, 1.07]","1.397101395","0.162383082",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + number counting","Immediate post","All","Intrusion frequency","Intrusion diary","no","75","1","1","1","-0.39497"," [-0.95, 0.16]","-1.38302333","0.166657712",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + pub quiz","Immediate post","All","Intrusion frequency","Intrusion diary","no","135","1","2","2","-0.355727848726982"," [-0.84, 0.12]","-1.45462203857455","0.145773926338326","1.33145696490361","0.0150870925615856","0.015087092231596","24.8943055302843","0.248546187553642"
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + tetris vs. Trauma reminder","Immediate post","All","Intrusion frequency","Intrusion diary","no","550","8","10","10","0.720598569334215"," [0.53, 0.92]","7.23109171357043","0.000000000000479126628972726","9.21054211766752","0.000252178883501926","0.000252178883501926","0.50202394381031","0.418070830145161"
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + traumagameplay1","Immediate post","All","Intrusion frequency","Intrusion diary","no","92","1","1","4","0.0621284275983888"," [-0.19, 0.31]","0.48492007403582","0.627733042229633","0.273098104712116","0","0.00000000000675786989872493","0.0000000102922250449295","0.965005961416711"
"FocalAnalysis_Step2_Individual_technique","Traumagameplay2","Immediate post","All","Intrusion frequency","Intrusion diary","no","120","1","1","2","0.199282865776328"," [-0.16, 0.56]","1.08868004643163","0.276295003940912","0.0734359777661718","0","0.00000000000516435465223376","0.00000000770626673406817","0.786398159118041"
"FocalAnalysis_Step2_Individual_technique","Unsupportive social interaction","Immediate post","All","Intrusion frequency","Intrusion diary","no","81","1","1","1","-0.23374"," [-0.77, 0.30]","-0.850617165","0.394982051",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Ve allocentric recognition memory task","Immediate post","All","Intrusion frequency","Intrusion diary","no","45","1","1","3","-0.286917257953817"," [-1.10, 0.53]","-0.689033598249836","0.490802124530283","7.43365642508452","0","0.379711700312215","72.9967652626732","0.0243109548696516"
"FocalAnalysis_Step2_Individual_technique","Ve egocentric recognition memory task","Immediate post","All","Intrusion frequency","Intrusion diary","no","45","1","1","3","-0.101002145356462"," [-1.04, 0.84]","-0.211164944255098","0.832758564379934","9.63323695990772","0","0.545184259694515","79.4361535746949","0.00809411131410426"
"FocalAnalysis_Step2_Individual_technique","Visual stimulation","Immediate post","All","Intrusion frequency","Intrusion diary","no","120","1","1","6","-0.115583082629381"," [-0.30, 0.06]","-1.26231302330828","0.206836172294749","4.16996872334797","0","0.00000000000846771515531603","0.0000000168328098303734","0.525213321655399"
"FocalAnalysis_Step2_Individual_technique","Visual stimulation imagery","Immediate post","All","Intrusion frequency","Intrusion diary","no","114","1","1","3","-0.298261700623007"," [-0.56, -0.04]","-2.23857571257783","0.0251835359948334","0.0321315396746619","0","0.00000000000600093220941352","0.0000000112679626903408","0.984062596289991"
"FocalAnalysis_Step2_Individual_technique","Wakeful rest","Immediate post","All","Intrusion frequency","Intrusion diary","no","85","1","2","2","0.381635780183449"," [-0.03, 0.79]","1.8156548883766","0.0694233281590155","1.29994656399363","0.0112959886361773","0.0112959886347018","23.073762680103","0.25422298453477"
"FocalAnalysis_Step2_Individual_technique","Writing-based rescripting","Immediate post","All","Intrusion frequency","Intrusion diary","no","119","1","1","1","0.75715"," [0.24, 1.27]","2.879517785","0.003982838",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Attentional bias modification","Immediate post","All","Intrusion frequency","Intrusion diary","yes","45","1","1","1","0.73769"," [0.13, 1.34]","2.393657634","0.016681312",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Autobiographical memory elaboration","Immediate post","All","Intrusion frequency","Intrusion diary","yes","101","1","1","1","0.00665"," [-0.47, 0.48]","0.027299517","0.978220842",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Bilateral eye movement","Immediate post","All","Intrusion frequency","Intrusion diary","yes","66","1","1","2","0.680145660303875"," [0.33, 1.03]","3.79698797971246","0.000146464888561143","0.0288486365407092","0","0.00000000000791861118367976","0.0000000123390902730077","0.865128997416513"
"FocalAnalysis_Step2_Individual_technique","Block rehearsal + thought suppression","Immediate post","All","Intrusion frequency","Intrusion diary","yes","120","1","1","1","0.35727"," [-0.21, 0.93]","1.227868136","0.219496473",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Challenged vs. Unchallenged memory","Immediate post","All","Intrusion frequency","Intrusion diary","yes","61","1","1","1","0.35567"," [-0.01, 0.72]","1.91668877","0.055277483",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Clay modeling","Immediate post","All","Intrusion frequency","Intrusion diary","yes","41","1","1","3","-0.050991665671354"," [-0.56, 0.46]","-0.19745696754259","0.843469953364809","0.00175011700366928","0","0.00000000000495999388656756","0.00000000247917058263053","0.999125324250205"
"FocalAnalysis_Step2_Individual_technique","Dog interaction film","Immediate post","All","Intrusion frequency","Intrusion diary","yes","60","1","1","1","-0.07471"," [-0.69, 0.55]","-0.23616351","0.813305793",NA,NA,NA,NA,NA
