"Analysis","Prediction","Step3a","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Peri","All","Other","Intrusion frequency","Intrusion diary","yes","246","5","5","6","0.04"," [-0.27, 0.36]",NA,"0.276150","0.782433"
"Pre","All","Other","Intrusion frequency","Intrusion diary","yes","229","3","3","5","0.10"," [-0.24, 0.44]",NA,"0.579623","0.562169"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"8.072",NA,"0.089"
"Delayed post","All","Verbal","Intrusion frequency","Intrusion diary","no","140","2","2","2","0.60"," [-0.05, 1.25]",NA,"1.809359","0.070395"
"Immediate + delayed post","All","Verbal","Intrusion frequency","Intrusion diary","no","139","2","2","3","-0.34"," [-0.93, 0.25]",NA,"-1.115443","0.264660"
"Immediate post","All","Verbal","Intrusion frequency","Intrusion diary","no","838","11","12","25","0.07"," [-0.17, 0.30]",NA,"0.552345","0.580712"
"Peri","All","Verbal","Intrusion frequency","Intrusion diary","no","795","10","11","19","-0.18"," [-0.44, 0.08]",NA,"-1.390508","0.164375"
"Pre","All","Verbal","Intrusion frequency","Intrusion diary","no","80","1","2","2","-0.40"," [-0.99, 0.19]",NA,"-1.340566","0.180061"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"13.579",NA,"0.009"
"Delayed post","All","Verbal","Intrusion frequency","Intrusion diary","yes","140","2","2","2","0.61"," [0.09, 1.13]",NA,"2.287874","0.022145"
"Immediate + delayed post","All","Verbal","Intrusion frequency","Intrusion diary","yes","139","2","2","3","-0.33"," [-0.77, 0.11]",NA,"-1.477019","0.139671"
"Immediate post","All","Verbal","Intrusion frequency","Intrusion diary","yes","838","11","12","23","0.14"," [-0.04, 0.32]",NA,"1.561798","0.118336"
"Peri","All","Verbal","Intrusion frequency","Intrusion diary","yes","757","10","10","17","-0.08"," [-0.28, 0.12]",NA,"-0.759579","0.447506"
"Pre","All","Verbal","Intrusion frequency","Intrusion diary","yes","80","1","2","2","-0.40"," [-0.84, 0.04]",NA,"-1.792643","0.073030"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"5.652",NA,"0.130"
"Immediate post","Decrease","Emotion","Intrusion frequency","Intrusion diary","no","603","5","5","6","0.11"," [-0.15, 0.37]",NA,"0.836441","0.402907"
"Peri","Decrease","Emotion","Intrusion frequency","Intrusion diary","no","145","2","2","2","0.34"," [-0.16, 0.85]",NA,"1.325859","0.184887"
"Peri + immediate post","Decrease","Emotion","Intrusion frequency","Intrusion diary","no","67","1","1","1","-0.51"," [-1.15, 0.13]",NA,"-1.561172","0.118483"
"Pre","Decrease","Emotion","Intrusion frequency","Intrusion diary","no","147","3","3","4","0.34"," [-0.04, 0.72]",NA,"1.744878","0.081006"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"1.239",NA,"0.538"
"Immediate post","Decrease","Emotion","Intrusion frequency","Intrusion diary","yes","603","5","5","6","0.11"," [-0.15, 0.37]",NA,"0.836441","0.402907"
"Peri","Decrease","Emotion","Intrusion frequency","Intrusion diary","yes","145","2","2","2","0.34"," [-0.16, 0.85]",NA,"1.325859","0.184887"
"Pre","Decrease","Emotion","Intrusion frequency","Intrusion diary","yes","147","3","3","4","0.34"," [-0.04, 0.72]",NA,"1.744878","0.081006"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"2.086",NA,"0.555"
"Delayed post","Decrease","Imagery","Intrusion frequency","Intrusion diary","no","501","5","6","8","0.51"," [0.15, 0.87]",NA,"2.743426","0.006080"
"Immediate post","Decrease","Imagery","Intrusion frequency","Intrusion diary","no","1902","21","26","46","0.35"," [0.18, 0.52]",NA,"4.065813","0.000048"
"Peri","Decrease","Imagery","Intrusion frequency","Intrusion diary","no","427","7","8","13","0.60"," [0.28, 0.93]",NA,"3.691293","0.000223"
"Pre","Decrease","Imagery","Intrusion frequency","Intrusion diary","no","120","2","2","2","0.44"," [-0.18, 1.06]",NA,"1.379488","0.167744"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"3.099",NA,"0.377"
"Delayed post","Decrease","Imagery","Intrusion frequency","Intrusion diary","yes","377","4","4","6","0.21"," [-0.16, 0.59]",NA,"1.111366","0.266411"
"Immediate post","Decrease","Imagery","Intrusion frequency","Intrusion diary","yes","1802","19","24","44","0.35"," [0.20, 0.50]",NA,"4.464982","0.000008"
"Peri","Decrease","Imagery","Intrusion frequency","Intrusion diary","yes","427","7","8","13","0.59"," [0.31, 0.88]",NA,"4.067599","0.000047"
"Pre","Decrease","Imagery","Intrusion frequency","Intrusion diary","yes","120","2","2","2","0.44"," [-0.12, 1.00]",NA,"1.548499","0.121502"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"2.504",NA,"0.286"
"Immediate post","Decrease","Other","Intrusion frequency","Intrusion diary","no","815","10","11","11","0.32"," [0.14, 0.49]",NA,"3.581484","0.000342"
"Peri","Decrease","Other","Intrusion frequency","Intrusion diary","no","64","1","1","1","0.00"," [-0.57, 0.57]",NA,"0.000000","1.000000"
"Pre","Decrease","Other","Intrusion frequency","Intrusion diary","no","175","2","2","2","0.01"," [-0.41, 0.44]",NA,"0.068344","0.945511"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"2.504",NA,"0.286"
"Immediate post","Decrease","Other","Intrusion frequency","Intrusion diary","yes","815","10","11","11","0.32"," [0.14, 0.49]",NA,"3.581484","0.000342"
"Peri","Decrease","Other","Intrusion frequency","Intrusion diary","yes","64","1","1","1","0.00"," [-0.57, 0.57]",NA,"0.000000","1.000000"
"Pre","Decrease","Other","Intrusion frequency","Intrusion diary","yes","175","2","2","2","0.01"," [-0.41, 0.44]",NA,"0.068344","0.945511"
"Moderation Analysis: TimeOfManipulation","Decrease","Verbal","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"8.586",NA,"0.035"
"Delayed post","Decrease","Verbal","Intrusion frequency","Intrusion diary","no","54","1","1","1","0.50"," [-0.30, 1.31]",NA,"1.230212","0.218618"
"Immediate post","Decrease","Verbal","Intrusion frequency","Intrusion diary","no","481","7","7","14","0.28"," [0.05, 0.51]",NA,"2.349636","0.018792"
"Peri","Decrease","Verbal","Intrusion frequency","Intrusion diary","no","136","2","2","2","-0.10"," [-0.64, 0.43]",NA,"-0.383425","0.701405"
"Pre","Decrease","Verbal","Intrusion frequency","Intrusion diary","no","80","1","2","2","-0.40"," [-0.85, 0.05]",NA,"-1.759915","0.078422"
"Moderation Analysis: TimeOfManipulation","Decrease","Verbal","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"4.136",NA,"0.247"
"Delayed post","Decrease","Verbal","Intrusion frequency","Intrusion diary","yes","54","1","1","1","0.50"," [-0.33, 1.34]",NA,"1.186739","0.235331"
"Immediate post","Decrease","Verbal","Intrusion frequency","Intrusion diary","yes","481","7","7","14","0.28"," [0.03, 0.53]",NA,"2.212714","0.026917"
"Peri","Decrease","Verbal","Intrusion frequency","Intrusion diary","yes","136","2","2","2","-0.11"," [-0.66, 0.45]",NA,"-0.375181","0.707526"
"Pre","Decrease","Verbal","Intrusion frequency","Intrusion diary","yes","40","1","1","1","-0.29"," [-0.96, 0.38]",NA,"-0.848643","0.396080"
"Moderation Analysis: TimeOfManipulation","Increase","Emotion","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.591",NA,"0.898"
"Immediate post","Increase","Emotion","Intrusion frequency","Intrusion diary","no","301","3","3","3","-0.28"," [-1.12, 0.57]",NA,"-0.639572","0.522451"
"Peri","Increase","Emotion","Intrusion frequency","Intrusion diary","no","227","3","3","3","0.18"," [-0.67, 1.02]",NA,"0.414370","0.678603"
"Pre","Increase","Emotion","Intrusion frequency","Intrusion diary","no","63","1","1","1","-0.19"," [-1.64, 1.26]",NA,"-0.251335","0.801555"
"Pre + peri","Increase","Emotion","Intrusion frequency","Intrusion diary","no","108","1","1","1","-0.13"," [-1.57, 1.31]",NA,"-0.176833","0.859639"
"Moderation Analysis: TimeOfManipulation","Increase","Emotion","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"2.284",NA,"0.516"
"Immediate post","Increase","Emotion","Intrusion frequency","Intrusion diary","yes","81","1","1","1","-0.23"," [-0.79, 0.33]",NA,"-0.819284","0.412625"
"Peri","Increase","Emotion","Intrusion frequency","Intrusion diary","yes","227","3","3","3","0.15"," [-0.16, 0.46]",NA,"0.935683","0.349436"
"Pre","Increase","Emotion","Intrusion frequency","Intrusion diary","yes","63","1","1","1","-0.19"," [-0.70, 0.33]",NA,"-0.702738","0.482219"
"Pre + peri","Increase","Emotion","Intrusion frequency","Intrusion diary","yes","108","1","1","1","-0.13"," [-0.61, 0.35]",NA,"-0.528957","0.596835"
"Moderation Analysis: TimeOfManipulation","Increase","Other","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.311",NA,"0.856"
"Immediate post","Increase","Other","Intrusion frequency","Intrusion diary","no","226","4","4","6","-0.07"," [-0.46, 0.32]",NA,"-0.363317","0.716368"
"Peri","Increase","Other","Intrusion frequency","Intrusion diary","no","128","3","3","4","-0.04"," [-0.52, 0.44]",NA,"-0.165141","0.868833"
"Pre","Increase","Other","Intrusion frequency","Intrusion diary","no","175","2","2","2","0.12"," [-0.44, 0.68]",NA,"0.415368","0.677873"
"Moderation Analysis: TimeOfManipulation","Increase","Other","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.311",NA,"0.856"
"Immediate post","Increase","Other","Intrusion frequency","Intrusion diary","yes","226","4","4","6","-0.07"," [-0.46, 0.32]",NA,"-0.363317","0.716368"
"Peri","Increase","Other","Intrusion frequency","Intrusion diary","yes","128","3","3","4","-0.04"," [-0.52, 0.44]",NA,"-0.165141","0.868833"
"Pre","Increase","Other","Intrusion frequency","Intrusion diary","yes","175","2","2","2","0.12"," [-0.44, 0.68]",NA,"0.415368","0.677873"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.484",NA,"0.785"
"Immediate + delayed post","Increase","Verbal","Intrusion frequency","Intrusion diary","no","139","2","2","3","-0.34"," [-1.00, 0.33]",NA,"-0.987703","0.323298"
"Immediate post","Increase","Verbal","Intrusion frequency","Intrusion diary","no","436","5","6","8","-0.18"," [-0.58, 0.22]",NA,"-0.880625","0.378521"
"Peri","Increase","Verbal","Intrusion frequency","Intrusion diary","no","653","8","9","12","-0.36"," [-0.70, -0.02]",NA,"-2.082679","0.037281"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"1.445",NA,"0.486"
"Immediate + delayed post","Increase","Verbal","Intrusion frequency","Intrusion diary","yes","139","2","2","3","-0.34"," [-0.88, 0.21]",NA,"-1.199707","0.230253"
"Immediate post","Increase","Verbal","Intrusion frequency","Intrusion diary","yes","436","5","6","7","-0.08"," [-0.42, 0.25]",NA,"-0.492039","0.622691"
"Peri","Increase","Verbal","Intrusion frequency","Intrusion diary","yes","653","8","9","12","-0.35"," [-0.63, -0.06]",NA,"-2.369767","0.017799"
"Moderation Analysis: TimeOfManipulation","Unspecified","Imagery","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"2.145",NA,"0.342"
"Delayed post","Unspecified","Imagery","Intrusion frequency","Intrusion diary","no","72","1","1","2","0.35"," [-0.12, 0.81]",NA,"1.450708","0.146861"
"Immediate post","Unspecified","Imagery","Intrusion frequency","Intrusion diary","no","1101","12","12","19","-0.02"," [-0.14, 0.11]",NA,"-0.233666","0.815244"
"Peri","Unspecified","Imagery","Intrusion frequency","Intrusion diary","no","211","1","1","1","0.04"," [-0.43, 0.50]",NA,"0.153001","0.878398"
"Moderation Analysis: TimeOfManipulation","Unspecified","Imagery","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"2.145",NA,"0.342"
"Delayed post","Unspecified","Imagery","Intrusion frequency","Intrusion diary","yes","72","1","1","2","0.35"," [-0.12, 0.81]",NA,"1.450708","0.146861"
"Immediate post","Unspecified","Imagery","Intrusion frequency","Intrusion diary","yes","1101","12","12","19","-0.02"," [-0.14, 0.11]",NA,"-0.233666","0.815244"
"Peri","Unspecified","Imagery","Intrusion frequency","Intrusion diary","yes","211","1","1","1","0.04"," [-0.43, 0.50]",NA,"0.153001","0.878398"
"Moderation Analysis: TimeOfManipulation","Unspecified","Other","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.621",NA,"0.733"
"Immediate post","Unspecified","Other","Intrusion frequency","Intrusion diary","no","205","2","3","11","0.34"," [0.19, 0.50]",NA,"4.411906","0.000010"
"Peri","Unspecified","Other","Intrusion frequency","Intrusion diary","no","54","1","1","1","0.45"," [-0.19, 1.10]",NA,"1.375924","0.168845"
"Pre","Unspecified","Other","Intrusion frequency","Intrusion diary","no","54","1","1","1","0.15"," [-0.39, 0.68]",NA,"0.535370","0.592394"
"Moderation Analysis: TimeOfManipulation","Unspecified","Other","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.621",NA,"0.733"
"Immediate post","Unspecified","Other","Intrusion frequency","Intrusion diary","yes","205","2","3","11","0.34"," [0.19, 0.50]",NA,"4.411906","0.000010"
"Peri","Unspecified","Other","Intrusion frequency","Intrusion diary","yes","54","1","1","1","0.45"," [-0.19, 1.10]",NA,"1.375924","0.168845"
"Pre","Unspecified","Other","Intrusion frequency","Intrusion diary","yes","54","1","1","1","0.15"," [-0.39, 0.68]",NA,"0.535370","0.592394"
"Moderation Analysis: TimeOfManipulation","Unspecified","Verbal","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"3.220",NA,"0.200"
"Delayed post","Unspecified","Verbal","Intrusion frequency","Intrusion diary","no","86","1","1","1","0.68"," [-0.02, 1.38]",NA,"1.917394","0.055188"
"Immediate post","Unspecified","Verbal","Intrusion frequency","Intrusion diary","no","253","3","3","3","-0.06"," [-0.47, 0.35]",NA,"-0.281260","0.778511"
"Peri","Unspecified","Verbal","Intrusion frequency","Intrusion diary","no","292","4","4","5","0.12"," [-0.19, 0.43]",NA,"0.753012","0.451443"
"Moderation Analysis: TimeOfManipulation","Unspecified","Verbal","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"3.220",NA,"0.200"
"Delayed post","Unspecified","Verbal","Intrusion frequency","Intrusion diary","yes","86","1","1","1","0.68"," [-0.02, 1.38]",NA,"1.917394","0.055188"
"Immediate post","Unspecified","Verbal","Intrusion frequency","Intrusion diary","yes","253","3","3","3","-0.06"," [-0.47, 0.35]",NA,"-0.281260","0.778511"
"Peri","Unspecified","Verbal","Intrusion frequency","Intrusion diary","yes","292","4","4","5","0.12"," [-0.19, 0.43]",NA,"0.753012","0.451443"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"5.376",NA,"0.068"
"Immediate post","All","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no","81","1","1","2","0.02"," [-0.35, 0.40]",NA,"0.109801","0.912567"
"Peri","All","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no","171","2","2","3","0.58"," [0.28, 0.87]",NA,"3.867465","0.000110"
"Pre","All","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no","129","2","2","4","0.43"," [0.16, 0.71]",NA,"3.060517","0.002210"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"5.376",NA,"0.068"
"Immediate post","All","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes","81","1","1","2","0.02"," [-0.35, 0.40]",NA,"0.109801","0.912567"
"Peri","All","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes","171","2","2","3","0.58"," [0.28, 0.87]",NA,"3.867465","0.000110"
"Pre","All","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes","129","2","2","4","0.43"," [0.16, 0.71]",NA,"3.060517","0.002210"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"3.500",NA,"0.321"
"Delayed post","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","273","2","3","7","0.36"," [-0.07, 0.80]",NA,"1.637712","0.101482"
"Immediate post","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","713","8","10","19","0.60"," [0.35, 0.86]",NA,"4.680602","0.000003"
"Peri","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","86","1","1","1","0.74"," [-0.11, 1.60]",NA,"1.713329","0.086652"
"Pre","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","56","1","1","1","-0.13"," [-0.97, 0.71]",NA,"-0.304357","0.760856"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"3.500",NA,"0.321"
"Delayed post","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","273","2","3","7","0.36"," [-0.07, 0.80]",NA,"1.637712","0.101482"
"Immediate post","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","713","8","10","19","0.60"," [0.35, 0.86]",NA,"4.680602","0.000003"
"Peri","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","86","1","1","1","0.74"," [-0.11, 1.60]",NA,"1.713329","0.086652"
"Pre","All","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","56","1","1","1","-0.13"," [-0.97, 0.71]",NA,"-0.304357","0.760856"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"4.968",NA,"0.174"
"Delayed post","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","181","1","1","1","0.08"," [-0.46, 0.62]",NA,"0.297059","0.766421"
"Immediate post","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","490","8","8","10","0.28"," [0.05, 0.51]",NA,"2.349963","0.018775"
"Peri","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","65","1","1","1","-0.61"," [-1.37, 0.15]",NA,"-1.565799","0.117396"
"Pre","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","200","3","3","5","0.14"," [-0.23, 0.50]",NA,"0.747821","0.454568"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"4.968",NA,"0.174"
"Delayed post","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","181","1","1","1","0.08"," [-0.46, 0.62]",NA,"0.297059","0.766421"
"Immediate post","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","490","8","8","10","0.28"," [0.05, 0.51]",NA,"2.349963","0.018775"
"Peri","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","65","1","1","1","-0.61"," [-1.37, 0.15]",NA,"-1.565799","0.117396"
"Pre","All","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","200","3","3","5","0.14"," [-0.23, 0.50]",NA,"0.747821","0.454568"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"1.004",NA,"0.316"
"Immediate post","All","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","no","346","4","5","11","0.12"," [-0.13, 0.36]",NA,"0.938380","0.348049"
"Peri","All","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","no","261","3","3","4","-0.13"," [-0.53, 0.28]",NA,"-0.603855","0.545940"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.523",NA,"0.469"
"Immediate post","All","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","yes","346","4","5","11","0.17"," [-0.10, 0.44]",NA,"1.249451","0.211500"
"Peri","All","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","yes","196","2","2","2","0.38"," [-0.11, 0.87]",NA,"1.512254","0.130469"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.007",NA,"0.934"
"Peri","Decrease","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no","89","1","1","1","0.51"," [-0.05, 1.08]",NA,"1.792395","0.073070"
"Pre","Decrease","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no","48","1","1","2","0.54"," [0.13, 0.96]",NA,"2.586166","0.009705"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.007",NA,"0.934"
"Peri","Decrease","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes","89","1","1","1","0.51"," [-0.05, 1.08]",NA,"1.792395","0.073070"
"Pre","Decrease","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes","48","1","1","2","0.54"," [0.13, 0.96]",NA,"2.586166","0.009705"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"6.780",NA,"0.079"
"Delayed post","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","273","2","3","4","0.54"," [0.15, 0.94]",NA,"2.689939","0.007147"
"Immediate post","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","513","6","8","11","0.82"," [0.57, 1.07]",NA,"6.392316","0.000000"
"Peri","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","86","1","1","1","0.74"," [0.03, 1.46]",NA,"2.038317","0.041518"
"Pre","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","56","1","1","1","-0.13"," [-0.83, 0.57]",NA,"-0.364675","0.715354"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"6.780",NA,"0.079"
"Delayed post","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","273","2","3","4","0.54"," [0.15, 0.94]",NA,"2.689939","0.007147"
"Immediate post","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","513","6","8","11","0.82"," [0.57, 1.07]",NA,"6.392316","0.000000"
"Peri","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","86","1","1","1","0.74"," [0.03, 1.46]",NA,"2.038317","0.041518"
"Pre","Decrease","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","56","1","1","1","-0.13"," [-0.83, 0.57]",NA,"-0.364675","0.715354"
