Analysis,Individual Technique Name,Time of Administration,Prediction,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,z,p,Q,tau2.studylevel,tau2.outcomelevel,I2,Q.pval
Individual Technique,Trauma reminder + extinction vs. Extinction,Delayed post,All,Intrusion frequency,NA,no,336,2,2,4,-0.18278104," [-0.82, 0.45]",-0.564534677,0.572390307,7.616438463,0.180473999,5.71067E-13,80.08884861,0.054640932
Individual Technique,Trauma reminder + tetris,Delayed post,All,Intrusion frequency,NA,no,273,2,3,6,0.770606855," [0.07, 1.48]",2.141438362,0.032238704,20.77433319,0.342932605,1.3078E-11,80.24598988,0.000893553
Individual Technique,Trauma reminder + tetris vs. Trauma reminder,Delayed post,All,Intrusion frequency,NA,no,140,2,2,2,0.424936805," [-0.49, 1.34]",0.914527591,0.360439687,4.63222173,0.169579352,0.169579352,78.41208689,0.031376908
Individual Technique,Trauma reminder + word game vs. Trauma reminder,Delayed post,All,Intrusion frequency,NA,no,140,2,2,2,0.61322387," [0.20, 1.03]",2.902974796,0.003696364,0.169199809,1.78261E-12,1.78261E-12,3.79886E-09,0.680823944
Individual Technique,Hydrocortisone,Delayed post,All,Intrusion frequency,NA,yes,65,1,1,2,-0.192571951," [-0.54, 0.15]",-1.094758844,0.273622301,0.205828166,0,5.30365E-12,8.57016E-09,0.650057083
Individual Technique,Imagery re-experience,Delayed post,All,Intrusion frequency,NA,yes,88,1,1,1,0.28612," [-0.23, 0.80]",1.093122357,0.274340081,NA,NA,NA,NA,NA
Individual Technique,Imagery rescripting,Delayed post,All,Intrusion frequency,NA,yes,88,1,1,1,0.02688," [-0.48, 0.54]",0.103207916,0.917797957,NA,NA,NA,NA,NA
Individual Technique,Pre-neutral vs. Pre-negative trauma reminder,Delayed post,All,Intrusion frequency,NA,yes,173,1,1,1,0.21769," [-0.19, 0.63]",1.040782851,0.297976341,NA,NA,NA,NA,NA
Individual Technique,Pre-vs. Post-extinction using trauma reminder,Delayed post,All,Intrusion frequency,NA,yes,336,2,2,4,-0.173570113," [-0.47, 0.12]",-1.166008405,0.243611047,2.408541999,0.020472862,4.02621E-12,32.85410522,0.492046513
Individual Technique,Sleep-directed hypnosis,Delayed post,All,Intrusion frequency,NA,yes,181,1,1,2,0.094554074," [-0.11, 0.30]",0.898682904,0.368821586,0.01554963,0,5.8292E-12,2.63288E-08,0.900762519
Individual Technique,Tetris,Delayed post,All,Intrusion frequency,NA,yes,72,1,1,2,0.349441712," [-0.12, 0.82]",1.455191376,0.145616288,1.015156997,0,0.001722672,1.493072526,0.313670544
Individual Technique,Tetris + trauma reminder,Delayed post,All,Intrusion frequency,NA,yes,149,1,1,2,0.046204395," [-0.27, 0.36]",0.284678583,0.7758904,0.001542778,0,5.07708E-12,9.63666E-09,0.968668579
Individual Technique,Trauma reminder,Delayed post,All,Intrusion frequency,NA,yes,72,1,1,2,-0.101265741," [-0.56, 0.36]",-0.428190053,0.668512758,0.784625398,0,2.57416E-11,2.30113E-08,0.375730251
Individual Technique,Trauma reminder + break + tetris,Delayed post,All,Intrusion frequency,NA,yes,149,1,1,2,-0.077325534," [-0.39, 0.24]",-0.479253187,0.631758521,0.009228849,0,5.21676E-12,1.00197E-08,0.923467443
Individual Technique,Trauma reminder + extinction vs. Extinction,Delayed post,All,Intrusion frequency,NA,yes,336,2,2,4,-0.18278104," [-0.82, 0.45]",-0.564534677,0.572390307,7.616438463,0.180473999,5.71067E-13,80.08884861,0.054640932
Individual Technique,Trauma reminder + tetris,Delayed post,All,Intrusion frequency,NA,yes,273,2,3,4,0.662119323," [-0.00, 1.32]",1.959606273,0.050041828,11.36021468,0.266777561,2.0368E-11,77.83669012,0.009929314
Individual Technique,Trauma reminder + tetris vs. Trauma reminder,Delayed post,All,Intrusion frequency,NA,yes,140,2,2,2,0.424936805," [-0.49, 1.34]",0.914527591,0.360439687,4.63222173,0.169579352,0.169579352,78.41208689,0.031376908
Individual Technique,Trauma reminder + word game vs. Trauma reminder,Delayed post,All,Intrusion frequency,NA,yes,140,2,2,2,0.61322387," [0.20, 1.03]",2.902974796,0.003696364,0.169199809,1.78261E-12,1.78261E-12,3.79886E-09,0.680823944
Individual Technique,Deceptive placebo,Immediate + delayed post,All,Intrusion frequency,NA,no,112,1,1,1,0.27759," [-0.17, 0.73]",1.204189737,0.228516252,NA,NA,NA,NA,NA
Individual Technique,Film-related rumination,Immediate + delayed post,All,Intrusion frequency,NA,no,139,2,2,3,-0.339039601," [-0.74, 0.06]",-1.671150231,0.094692008,1.948017394,0.033337625,8.0919E-13,34.44646511,0.377566451
Individual Technique,Non-film related rumination,Immediate + delayed post,All,Intrusion frequency,NA,no,57,1,1,1,-0.48948," [-1.14, 0.16]",-1.466365069,0.142548857,NA,NA,NA,NA,NA
Individual Technique,Open-label placebo,Immediate + delayed post,All,Intrusion frequency,NA,no,112,1,1,1,0.07257," [-0.38, 0.53]",0.311922523,0.755099405,NA,NA,NA,NA,NA
Individual Technique,Deceptive placebo,Immediate + delayed post,All,Intrusion frequency,NA,yes,112,1,1,1,0.27759," [-0.17, 0.73]",1.204189737,0.228516252,NA,NA,NA,NA,NA
Individual Technique,Film-related rumination,Immediate + delayed post,All,Intrusion frequency,NA,yes,139,2,2,3,-0.339039601," [-0.74, 0.06]",-1.671150231,0.094692008,1.948017394,0.033337625,8.0919E-13,34.44646511,0.377566451
Individual Technique,Non-film related rumination,Immediate + delayed post,All,Intrusion frequency,NA,yes,57,1,1,1,-0.48948," [-1.14, 0.16]",-1.466365069,0.142548857,NA,NA,NA,NA,NA
Individual Technique,Open-label placebo,Immediate + delayed post,All,Intrusion frequency,NA,yes,112,1,1,1,0.07257," [-0.38, 0.53]",0.311922523,0.755099405,NA,NA,NA,NA,NA
Individual Technique,Attentional bias modification,Immediate post,All,Intrusion frequency,NA,no,45,1,1,2,0.779632636," [0.35, 1.21]",3.564010569,0.000365231,0.037327975,0,4.84252E-12,5.05958E-09,0.846798823
Individual Technique,Autobiographical memory elaboration,Immediate post,All,Intrusion frequency,NA,no,315,3,3,6,0.030849998," [-0.15, 0.21]",0.330853897,0.740754847,4.250092184,1.35023E-09,1.83914E-06,0.003518976,0.513999015
Individual Technique,Bilateral eye movement,Immediate post,All,Intrusion frequency,NA,no,66,1,1,2,0.68014566," [0.33, 1.03]",3.79698798,0.000146465,0.028848637,0,7.91862E-12,1.23391E-08,0.865128997
Individual Technique,Block rehearsal + thought suppression,Immediate post,All,Intrusion frequency,NA,no,120,1,1,3,0.159727669," [-0.17, 0.49]",0.955661299,0.339243381,0.704293056,0,3.60504E-12,4.30155E-09,0.703177079
Individual Technique,Challenged vs. Unchallenged memory,Immediate post,All,Intrusion frequency,NA,no,61,1,1,2,0.553600921," [0.16, 0.95]",2.764188549,0.005706455,2.268047158,0,0.044857168,55.90920608,0.132066223
Individual Technique,Clay modeling,Immediate post,All,Intrusion frequency,NA,no,41,1,1,3,-0.050991666," [-0.56, 0.46]",-0.197456968,0.843469953,0.001750117,0,4.95999E-12,2.47917E-09,0.999125324
Individual Technique,Conceptual vs. Data-driven processing,Immediate post,All,Intrusion frequency,NA,no,34,1,1,1,0.58175," [-0.12, 1.28]",1.636274414,0.101782168,NA,NA,NA,NA,NA
Individual Technique,Concrete processing,Immediate post,All,Intrusion frequency,NA,no,83,1,1,2,0.306304231," [-0.07, 0.68]",1.595685282,0.110559076,0.283691724,0,5.23065E-12,7.09722E-09,0.594291676
Individual Technique,Concrete processing vs. Film-related rumination,Immediate post,All,Intrusion frequency,NA,no,83,1,1,2,0.216713897," [-0.15, 0.59]",1.143375268,0.252882816,0.018730232,0,6.40337E-12,8.91213E-09,0.89114269
Individual Technique,Detached mindfulness,Immediate post,All,Intrusion frequency,NA,no,56,1,1,1,0.94608," [0.16, 1.73]",2.373814616,0.017605387,NA,NA,NA,NA,NA
Individual Technique,Dog interaction film,Immediate post,All,Intrusion frequency,NA,no,60,1,1,1,-0.07471," [-0.69, 0.55]",-0.23616351,0.813305793,NA,NA,NA,NA,NA
Individual Technique,Emotional acceptance,Immediate post,All,Intrusion frequency,NA,no,56,1,1,1,0.61137," [-0.15, 1.37]",1.58100849,0.113876097,NA,NA,NA,NA,NA
Individual Technique,Exercise,Immediate post,All,Intrusion frequency,NA,no,71,1,1,1,-0.15879," [-0.73, 0.41]",-0.5433205,0.586909152,NA,NA,NA,NA,NA
Individual Technique,Expressive vs. Factual trauma disclosure,Immediate post,All,Intrusion frequency,NA,no,73,1,1,1,0.20599," [-0.26, 0.67]",0.870998785,0.383754816,NA,NA,NA,NA,NA
Individual Technique,Extinction,Immediate post,All,Intrusion frequency,NA,no,84,1,1,1,0.23625," [-0.23, 0.70]",0.998021326,0.318269018,NA,NA,NA,NA,NA
Individual Technique,Field perspective recall,Immediate post,All,Intrusion frequency,NA,no,85,1,1,1,-0.59276," [-1.15, -0.03]",-2.068133345,0.038627486,NA,NA,NA,NA,NA
Individual Technique,Field vs. Observer perspective recall,Immediate post,All,Intrusion frequency,NA,no,85,1,1,1,-0.42373," [-0.98, 0.14]",-1.480412852,0.138763102,NA,NA,NA,NA,NA
Individual Technique,Film-related rumination,Immediate post,All,Intrusion frequency,NA,no,370,4,5,16,-0.228358761," [-0.78, 0.33]",-0.805631285,0.420455481,29.20252065,0.351469373,0.008370644,83.47372788,0.015145273
Individual Technique,Film-related rumination vs. Autobiographical memory elaboration,Immediate post,All,Intrusion frequency,NA,no,101,1,1,3,0.004078633," [-0.27, 0.28]",0.0288663,0.976971223,1.403298755,0,5.17237E-12,8.63607E-09,0.495766922
Individual Technique,Finger tapping,Immediate post,All,Intrusion frequency,NA,no,60,1,1,1,0.68113," [0.04, 1.32]",2.094072785,0.036253497,NA,NA,NA,NA,NA
Individual Technique,Guilt induction,Immediate post,All,Intrusion frequency,NA,no,39,1,1,1,-1.42646," [-2.13, -0.72]",-3.975938613,7.01022E-05,NA,NA,NA,NA,NA
Individual Technique,Hydrocortisone,Immediate post,All,Intrusion frequency,NA,no,88,1,1,1,0.60506," [0.08, 1.13]",2.253031142,0.024257186,NA,NA,NA,NA,NA
Individual Technique,Hyperventilation provocation + thought suppression,Immediate post,All,Intrusion frequency,NA,no,120,1,1,3,-0.073897696," [-0.46, 0.31]",-0.374716024,0.707871674,2.775789164,0,0.032474862,27.83334213,0.249600265
Individual Technique,Imagery re-experience,Immediate post,All,Intrusion frequency,NA,no,880,8,8,9,0.112797099," [-0.09, 0.32]",1.068929101,0.285101618,11.03315338,0.018465891,5.14155E-11,19.38765782,0.19982775
Individual Technique,Imagery re-experience + eye movement,Immediate post,All,Intrusion frequency,NA,no,250,1,3,3,0.489505983," [0.13, 0.85]",2.667055302,0.007651908,2.468557635,0.008989412,0.008989412,17.78446702,0.291044583
Individual Technique,Imagery re-experience + number counting,Immediate post,All,Intrusion frequency,NA,no,250,1,3,3,0.560905437," [0.12, 1.00]",2.511384401,0.012025867,3.555712645,0.032723134,0.032723134,43.72807482,0.169000041
Individual Technique,Imagery re-experience + traumagameplay2,Immediate post,All,Intrusion frequency,NA,no,120,1,1,2,-0.346076724," [-0.71, 0.02]",-1.865192386,0.062154442,0.07197875,0,8.02742E-12,1.16584E-08,0.788477214
Individual Technique,Imagery re-experience vs. Positive imagery,Immediate post,All,Intrusion frequency,NA,no,76,1,1,1,-0.2529," [-0.80, 0.29]",-0.907546533,0.364117854,NA,NA,NA,NA,NA
Individual Technique,Imagery rescripting,Immediate post,All,Intrusion frequency,NA,no,319,3,3,5,0.28574621," [-0.08, 0.65]",1.541151782,0.12327985,8.523739204,7.07632E-11,0.091055356,53.00986344,0.074170914
Individual Technique,Imagery rescripting vs. Imagery re-experience,Immediate post,All,Intrusion frequency,NA,no,116,2,2,3,0.473760504," [-0.40, 1.34]",1.066735821,0.286091147,5.936786209,0.324838123,3.18792E-11,76.89363422,0.051385816
Individual Technique,Imagery rescripting vs. Positive imagery,Immediate post,All,Intrusion frequency,NA,no,76,1,1,1,0.63751," [0.07, 1.20]",2.216986133,0.026624039,NA,NA,NA,NA,NA
Individual Technique,Imagery trauma elaboration,Immediate post,All,Intrusion frequency,NA,no,106,1,1,1,0.47249," [0.09, 0.86]",2.399045829,0.016437857,NA,NA,NA,NA,NA
Individual Technique,Imaginary re-exposure,Immediate post,All,Intrusion frequency,NA,no,56,1,1,1,0.24648," [-0.50, 0.99]",0.649661948,0.515910609,NA,NA,NA,NA,NA
Individual Technique,Letter cancellation task,Immediate post,All,Intrusion frequency,NA,no,70,1,1,1,-0.54921," [-1.30, 0.21]",-1.426423851,0.153746033,NA,NA,NA,NA,NA
Individual Technique,Memorize numbers,Immediate post,All,Intrusion frequency,NA,no,80,1,1,3,-0.215588382," [-0.58, 0.14]",-1.175002529,0.239993704,0.980379561,0,6.79004E-13,6.72302E-10,0.612510141
Individual Technique,Memorize numbers + thought suppression,Immediate post,All,Intrusion frequency,NA,no,200,2,2,6,0.130288821," [-0.46, 0.72]",0.436020477,0.662821872,13.32555765,0.118155121,0.086966645,68.63497186,0.020511646
Individual Technique,Memory test,Immediate post,All,Intrusion frequency,NA,no,52,1,1,1,0.35993," [-0.03, 0.75]",1.820611417,0.068665946,NA,NA,NA,NA,NA
Individual Technique,Mindfulness vs. Muscle relaxation,Immediate post,All,Intrusion frequency,NA,no,60,1,1,3,-0.109775835," [-0.42, 0.20]",-0.691370971,0.489332442,0.083712325,0,3.98683E-12,5.27127E-09,0.959007712
Individual Technique,Negative expectation towards intrusion,Immediate post,All,Intrusion frequency,NA,no,89,1,1,2,0.12863871," [-0.22, 0.47]",0.732246529,0.464018109,0.182478802,0,4.88585E-12,7.91551E-09,0.669251595
Individual Technique,Negative feedback,Immediate post,All,Intrusion frequency,NA,no,72,1,1,2,0.321334425," [-0.08, 0.72]",1.561503183,0.118405073,0.651066547,0,4.10114E-13,4.84139E-10,0.419731619
Individual Technique,Negative social reappraisal,Immediate post,All,Intrusion frequency,NA,no,181,1,1,1,0.66088," [0.28, 1.04]",3.435098584,0.000592338,NA,NA,NA,NA,NA
Individual Technique,Neutral attention walk,Immediate post,All,Intrusion frequency,NA,no,60,1,1,1,-0.43382," [-0.95, 0.08]",-1.66075263,0.096763138,NA,NA,NA,NA,NA
Individual Technique,Nitrous oxide,Immediate post,All,Intrusion frequency,NA,no,50,1,1,1,-0.0884," [-0.64, 0.47]",-0.312383475,0.754749107,NA,NA,NA,NA,NA
Individual Technique,Non-film related rumination,Immediate post,All,Intrusion frequency,NA,no,70,1,1,1,-1.022," [-1.81, -0.23]",-2.543034164,0.010989448,NA,NA,NA,NA,NA
Individual Technique,Number counting,Immediate post,All,Intrusion frequency,NA,no,101,2,2,7,0.305175103," [-0.29, 0.90]",1.010507935,0.312252,7.238014935,0.120883921,2.05499E-10,39.83077224,0.299395632
Individual Technique,Observer perspective recall,Immediate post,All,Intrusion frequency,NA,no,85,1,1,1,-0.00874," [-0.55, 0.53]",-0.031804633,0.974627852,NA,NA,NA,NA,NA
Individual Technique,Oxytocin,Immediate post,All,Intrusion frequency,NA,no,202,1,1,1,0.12619," [-0.15, 0.40]",0.895855348,0.370330025,NA,NA,NA,NA,NA
Individual Technique,Past vs. Now verbal training,Immediate post,All,Intrusion frequency,NA,no,96,1,1,3,0.008521766," [-0.15, 0.17]",0.102253019,0.918555845,0.264002433,0,3.40955E-12,1.63632E-08,0.876339929
Individual Technique,Positive expectation towards intrusion,Immediate post,All,Intrusion frequency,NA,no,89,1,1,2,0.393048969," [0.02, 0.77]",2.04904706,0.040457513,0.823078454,0,2.53664E-12,3.44606E-09,0.364281633
Individual Technique,Positive social reappraisal,Immediate post,All,Intrusion frequency,NA,no,181,1,1,1,0.1337," [-0.24, 0.50]",0.706659031,0.479778395,NA,NA,NA,NA,NA
Individual Technique,Positive vs. Negative cbm training,Immediate post,All,Intrusion frequency,NA,no,341,3,3,4,0.158839047," [-0.12, 0.44]",1.102590447,0.270205061,4.467560302,0.021347371,0.004575782,35.31553519,0.21520215
Individual Technique,Propranolol,Immediate post,All,Intrusion frequency,NA,no,88,1,1,1,0.44628," [-0.07, 0.96]",1.692787332,0.090495955,NA,NA,NA,NA,NA
Individual Technique,Prosocial behavior,Immediate post,All,Intrusion frequency,NA,no,180,1,2,3,0.495997951," [0.25, 0.74]",3.967995389,7.24797E-05,0.161640949,1.1281E-11,1.35071E-14,2.40803E-08,0.922359264
Individual Technique,Rem sleep,Immediate post,All,Intrusion frequency,NA,no,41,1,1,1,0.50993," [-0.11, 1.13]",1.606207694,0.108228283,NA,NA,NA,NA,NA
Individual Technique,Sad induction,Immediate post,All,Intrusion frequency,NA,no,81,1,1,2,0.02096731," [-0.35, 0.40]",0.109770478,0.912591405,0.058755379,0,5.23128E-12,7.16908E-09,0.80847404
Individual Technique,Sad vs. Humor induction,Immediate post,All,Intrusion frequency,NA,no,184,1,1,1,-0.3803," [-0.67, -0.09]",-2.555724863,0.010596687,NA,NA,NA,NA,NA
Individual Technique,Self efficacy,Immediate post,All,Intrusion frequency,NA,no,74,1,1,4,0.070253685," [-0.23, 0.37]",0.451940486,0.651311857,3.476320778,0,0.011504885,11.89889102,0.323846247
Individual Technique,Sleep,Immediate post,All,Intrusion frequency,NA,no,552,8,8,9,0.264270036," [0.10, 0.43]",3.06996643,0.002140828,7.589324435,1.12938E-12,7.39141E-13,2.78175E-09,0.474577503
Individual Technique,Social comparison,Immediate post,All,Intrusion frequency,NA,no,120,1,1,9,0.34014783," [0.17, 0.51]",3.915944059,9.00511E-05,4.34229551,0,4.13171E-12,6.08431E-09,0.824995743
Individual Technique,Social support,Immediate post,All,Intrusion frequency,NA,no,81,1,1,1,-0.19269," [-0.74, 0.36]",-0.685251018,0.493185535,NA,NA,NA,NA,NA
Individual Technique,Tetris,Immediate post,All,Intrusion frequency,NA,no,71,1,1,1,0.07006," [-0.50, 0.64]",0.240024597,0.810311189,NA,NA,NA,NA,NA
Individual Technique,Therapy dog interaction,Immediate post,All,Intrusion frequency,NA,no,60,1,1,1,-0.4555," [-1.08, 0.17]",-1.422081482,0.155002598,NA,NA,NA,NA,NA
Individual Technique,Thought suppression,Immediate post,All,Intrusion frequency,NA,no,200,2,2,6,0.112458784," [-0.15, 0.37]",0.849755637,0.395460959,5.588721026,2.67117E-11,0.01297788,12.34364168,0.348315343
Individual Technique,Threat attention walk,Immediate post,All,Intrusion frequency,NA,no,60,1,1,1,0.06829," [-0.44, 0.57]",0.264402593,0.791469714,NA,NA,NA,NA,NA
Individual Technique,Threat vs. Neutral attention walk,Immediate post,All,Intrusion frequency,NA,no,60,1,1,1,-0.50684," [-1.02, 0.01]",-1.932209741,0.053333623,NA,NA,NA,NA,NA
Individual Technique,Trauma re-exposure,Immediate post,All,Intrusion frequency,NA,no,115,1,1,1,-0.04336," [-0.49, 0.40]",-0.191189418,0.848377194,NA,NA,NA,NA,NA
Individual Technique,Trauma re-exposure + verbal update,Immediate post,All,Intrusion frequency,NA,no,115,1,1,1,0.49956," [0.04, 0.96]",2.115937217,0.034350148,NA,NA,NA,NA,NA
Individual Technique,Trauma reminder +  visual stimulation imagery,Immediate post,All,Intrusion frequency,NA,no,114,1,1,3,-0.463450307," [-0.73, -0.20]",-3.426527812,0.000611351,0.87293407,0,6.43979E-12,1.17332E-08,0.646315803
Individual Technique,Trauma reminder + d-corsi vs. Trauma reminder,Immediate post,All,Intrusion frequency,NA,no,107,1,1,2,0.36408748," [-0.31, 1.04]",1.051305359,0.293118366,3.952367375,0,0.179193804,74.69869411,0.046805477
Individual Technique,Trauma reminder + finger tapping,Immediate post,All,Intrusion frequency,NA,no,75,1,1,1,0.57235," [0.01, 1.14]",1.983361627,0.04732705,NA,NA,NA,NA,NA
Individual Technique,Trauma reminder + imagery rescripting vs. Trauma reminder,Immediate post,All,Intrusion frequency,NA,no,60,1,1,1,0.44729," [-0.18, 1.07]",1.397101395,0.162383082,NA,NA,NA,NA,NA
Individual Technique,Trauma reminder + number counting,Immediate post,All,Intrusion frequency,NA,no,75,1,1,1,-0.39497," [-0.95, 0.16]",-1.38302333,0.166657712,NA,NA,NA,NA,NA
Individual Technique,Trauma reminder + pub quiz,Immediate post,All,Intrusion frequency,NA,no,135,1,2,4,0.126888054," [-0.48, 0.73]",0.412381071,0.680060135,12.24461103,1.62285E-10,0.287226621,75.99200882,0.006590517
Individual Technique,Trauma reminder + tetris vs. Trauma reminder,Immediate post,All,Intrusion frequency,NA,no,607,8,11,21,0.799506194," [0.66, 0.93]",11.58722513,4.7838E-31,13.14465662,6.3618E-12,6.65029E-12,1.29615E-08,0.871091519
Individual Technique,Trauma reminder + traumagameplay1,Immediate post,All,Intrusion frequency,NA,no,92,1,1,4,0.062128428," [-0.19, 0.31]",0.484920074,0.627733042,0.273098105,0,6.75787E-12,1.02922E-08,0.965005961
Individual Technique,Traumagameplay2,Immediate post,All,Intrusion frequency,NA,no,120,1,1,2,0.199282866," [-0.16, 0.56]",1.088680046,0.276295004,0.073435978,0,5.16436E-12,7.70627E-09,0.786398159
Individual Technique,Unconscious imagery re-experience,Immediate post,All,Intrusion frequency,NA,no,149,1,1,1,0.46274," [-0.09, 1.01]",1.646694378,0.09962088,NA,NA,NA,NA,NA
Individual Technique,Unconscious vs. Conscious imagery re-experience,Immediate post,All,Intrusion frequency,NA,no,149,1,1,1,0.60707," [0.10, 1.11]",2.362325405,0.018160694,NA,NA,NA,NA,NA
Individual Technique,Unsupportive social interaction,Immediate post,All,Intrusion frequency,NA,no,81,1,1,1,-0.23374," [-0.77, 0.30]",-0.850617165,0.394982051,NA,NA,NA,NA,NA
Individual Technique,Ve allocentric recognition memory task,Immediate post,All,Intrusion frequency,NA,no,45,1,1,3,-0.286917258," [-1.10, 0.53]",-0.689033598,0.490802124,7.433656425,0,0.3797117,72.99676525,0.024310955
Individual Technique,Ve egocentric recognition memory task,Immediate post,All,Intrusion frequency,NA,no,45,1,1,3,-0.101002145," [-1.04, 0.84]",-0.211164944,0.832758564,9.63323696,0,0.54518426,79.43615357,0.008094111
Individual Technique,Visual stimulation,Immediate post,All,Intrusion frequency,NA,no,120,1,1,6,-0.115583083," [-0.30, 0.06]",-1.262313023,0.206836172,4.169968723,0,8.46775E-12,1.68329E-08,0.525213322
Individual Technique,Visual stimulation imagery,Immediate post,All,Intrusion frequency,NA,no,114,1,1,3,-0.298261701," [-0.56, -0.04]",-2.238575713,0.025183536,0.03213154,0,6.00134E-12,1.12687E-08,0.984062596
Individual Technique,Wakeful rest,Immediate post,All,Intrusion frequency,NA,no,85,1,2,3,0.374312064," [0.09, 0.66]",2.553553899,0.010662977,1.302753753,0.004205197,0,6.655888314,0.521327479
Individual Technique,Writing-based rescripting,Immediate post,All,Intrusion frequency,NA,no,119,1,1,1,0.75715," [0.24, 1.27]",2.879517785,0.003982838,NA,NA,NA,NA,NA
Individual Technique,Attentional bias modification,Immediate post,All,Intrusion frequency,NA,yes,45,1,1,2,0.779632636," [0.35, 1.21]",3.564010569,0.000365231,0.037327975,0,4.84252E-12,5.05958E-09,0.846798823
Individual Technique,Autobiographical memory elaboration,Immediate post,All,Intrusion frequency,NA,yes,315,3,3,6,0.030849998," [-0.15, 0.21]",0.330853897,0.740754847,4.250092184,1.35023E-09,1.83914E-06,0.003518976,0.513999015
Individual Technique,Bilateral eye movement,Immediate post,All,Intrusion frequency,NA,yes,66,1,1,2,0.68014566," [0.33, 1.03]",3.79698798,0.000146465,0.028848637,0,7.91862E-12,1.23391E-08,0.865128997
Individual Technique,Block rehearsal + thought suppression,Immediate post,All,Intrusion frequency,NA,yes,120,1,1,3,0.159727669," [-0.17, 0.49]",0.955661299,0.339243381,0.704293056,0,3.60504E-12,4.30155E-09,0.703177079
Individual Technique,Challenged vs. Unchallenged memory,Immediate post,All,Intrusion frequency,NA,yes,61,1,1,2,0.553600921," [0.16, 0.95]",2.764188549,0.005706455,2.268047158,0,0.044857168,55.90920608,0.132066223
Individual Technique,Clay modeling,Immediate post,All,Intrusion frequency,NA,yes,41,1,1,3,-0.050991666," [-0.56, 0.46]",-0.197456968,0.843469953,0.001750117,0,4.95999E-12,2.47917E-09,0.999125324
Individual Technique,Conceptual vs. Data-driven processing,Immediate post,All,Intrusion frequency,NA,yes,34,1,1,1,0.58175," [-0.12, 1.28]",1.636274414,0.101782168,NA,NA,NA,NA,NA
Individual Technique,Concrete processing,Immediate post,All,Intrusion frequency,NA,yes,83,1,1,2,0.306304231," [-0.07, 0.68]",1.595685282,0.110559076,0.283691724,0,5.23065E-12,7.09722E-09,0.594291676
Individual Technique,Concrete processing vs. Film-related rumination,Immediate post,All,Intrusion frequency,NA,yes,83,1,1,2,0.216713897," [-0.15, 0.59]",1.143375268,0.252882816,0.018730232,0,6.40337E-12,8.91213E-09,0.89114269
Individual Technique,Detached mindfulness,Immediate post,All,Intrusion frequency,NA,yes,56,1,1,1,0.94608," [0.16, 1.73]",2.373814616,0.017605387,NA,NA,NA,NA,NA
Individual Technique,Dog interaction film,Immediate post,All,Intrusion frequency,NA,yes,60,1,1,1,-0.07471," [-0.69, 0.55]",-0.23616351,0.813305793,NA,NA,NA,NA,NA
Individual Technique,Emotional acceptance,Immediate post,All,Intrusion frequency,NA,yes,56,1,1,1,0.61137," [-0.15, 1.37]",1.58100849,0.113876097,NA,NA,NA,NA,NA
Individual Technique,Exercise,Immediate post,All,Intrusion frequency,NA,yes,71,1,1,1,-0.15879," [-0.73, 0.41]",-0.5433205,0.586909152,NA,NA,NA,NA,NA
