"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: PublicationStatus","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.691",NA,"0.406"
"Published","Increase","Intrusion frequency","Intrusion diary","no","3258","35","41","52","-0.19"," [-0.34, -0.04]",NA,"-2.539071","0.011115"
"Unpublished","Increase","Intrusion frequency","Intrusion diary","no","353","6","6","11","-0.02"," [-0.39, 0.35]",NA,"-0.103124","0.917865"
"Moderation Analysis: PublicationStatus","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.850",NA,"0.357"
"Published","Increase","Intrusion frequency","Intrusion diary","yes","2999","32","38","48","-0.19"," [-0.32, -0.07]",NA,"-3.063594","0.002187"
"Unpublished","Increase","Intrusion frequency","Intrusion diary","yes","353","6","6","11","-0.04"," [-0.34, 0.26]",NA,"-0.269414","0.787611"
"Moderation Analysis: Country_RegionofOrigin","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"4.999",NA,"0.758"
"Australia","Increase","Intrusion frequency","Intrusion diary","no","875","9","10","13","-0.02"," [-0.32, 0.28]",NA,"-0.132248","0.894788"
"Belgium/Australia","Increase","Intrusion frequency","Intrusion diary","no","74","1","1","1","0.53"," [-0.47, 1.53]",NA,"1.043098","0.296903"
"England","Increase","Intrusion frequency","Intrusion diary","no","1290","17","21","29","-0.21"," [-0.43, 0.00]",NA,"-1.921809","0.054630"
"Germany","Increase","Intrusion frequency","Intrusion diary","no","290","2","2","2","-0.07"," [-0.71, 0.56]",NA,"-0.219405","0.826335"
"Netherlands","Increase","Intrusion frequency","Intrusion diary","no","478","6","6","10","-0.34"," [-0.72, 0.04]",NA,"-1.758829","0.078607"
"New Zealand","Increase","Intrusion frequency","Intrusion diary","no","60","1","1","2","-0.39"," [-1.32, 0.53]",NA,"-0.835167","0.403623"
"Scotland","Increase","Intrusion frequency","Intrusion diary","no","38","1","1","1","-0.65"," [-1.69, 0.39]",NA,"-1.219405","0.222691"
"Sweden","Increase","Intrusion frequency","Intrusion diary","no","81","1","1","1","-0.23"," [-1.21, 0.74]",NA,"-0.470931","0.637690"
"USA","Increase","Intrusion frequency","Intrusion diary","no","425","4","4","4","-0.10"," [-0.58, 0.38]",NA,"-0.399493","0.689530"
"Moderation Analysis: Country_RegionofOrigin","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"9.219",NA,"0.324"
"Australia","Increase","Intrusion frequency","Intrusion diary","yes","875","9","10","13","0.01"," [-0.22, 0.23]",NA,"0.061365","0.951069"
"Belgium/Australia","Increase","Intrusion frequency","Intrusion diary","yes","74","1","1","1","0.53"," [-0.26, 1.32]",NA,"1.323875","0.185544"
"England","Increase","Intrusion frequency","Intrusion diary","yes","1070","15","19","26","-0.29"," [-0.47, -0.11]",NA,"-3.229244","0.001241"
"Germany","Increase","Intrusion frequency","Intrusion diary","yes","290","2","2","2","-0.09"," [-0.55, 0.36]",NA,"-0.397001","0.691366"
"Netherlands","Increase","Intrusion frequency","Intrusion diary","yes","439","5","5","9","-0.21"," [-0.50, 0.09]",NA,"-1.362880","0.172920"
"New Zealand","Increase","Intrusion frequency","Intrusion diary","yes","60","1","1","2","-0.39"," [-1.08, 0.29]",NA,"-1.121875","0.261916"
"Scotland","Increase","Intrusion frequency","Intrusion diary","yes","38","1","1","1","-0.65"," [-1.48, 0.19]",NA,"-1.514244","0.129964"
"Sweden","Increase","Intrusion frequency","Intrusion diary","yes","81","1","1","1","-0.23"," [-0.99, 0.52]",NA,"-0.608894","0.542595"
"USA","Increase","Intrusion frequency","Intrusion diary","yes","425","4","4","4","-0.10"," [-0.47, 0.27]",NA,"-0.531061","0.595376"
"Moderation Analysis: Continent","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"3.554",NA,"0.314"
"Australia","Increase","Intrusion frequency","Intrusion diary","no","935","10","11","15","-0.05"," [-0.32, 0.22]",NA,"-0.378238","0.705254"
"Australia/europe","Increase","Intrusion frequency","Intrusion diary","no","74","1","1","1","0.53"," [-0.43, 1.49]",NA,"1.088626","0.276319"
"Europe","Increase","Intrusion frequency","Intrusion diary","no","2177","27","31","43","-0.24"," [-0.41, -0.07]",NA,"-2.829944","0.004656"
"North america","Increase","Intrusion frequency","Intrusion diary","no","425","4","4","4","-0.10"," [-0.56, 0.36]",NA,"-0.419718","0.674692"
"Moderation Analysis: Continent","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"7.129",NA,"0.068"
"Australia","Increase","Intrusion frequency","Intrusion diary","yes","935","10","11","15","-0.03"," [-0.23, 0.18]",NA,"-0.256408","0.797636"
"Australia/europe","Increase","Intrusion frequency","Intrusion diary","yes","74","1","1","1","0.53"," [-0.23, 1.29]",NA,"1.372027","0.170055"
"Europe","Increase","Intrusion frequency","Intrusion diary","yes","1918","24","28","39","-0.26"," [-0.40, -0.13]",NA,"-3.841891","0.000122"
"North america","Increase","Intrusion frequency","Intrusion diary","yes","425","4","4","4","-0.10"," [-0.45, 0.25]",NA,"-0.555488","0.578561"
"Moderation Analysis: MeanAge","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.513",NA,"0.474"
"MeanAge","Increase","Intrusion frequency","Intrusion diary","no","3344","38","44","60","0.01"," [-0.02, 0.05]",NA,"0.716317","0.473795"
"Moderation Analysis: MeanAge","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.423",NA,"0.515"
"MeanAge","Increase","Intrusion frequency","Intrusion diary","yes","3124","36","42","57","0.01"," [-0.02, 0.05]",NA,"0.650460","0.515395"
"Moderation Analysis: FemaleRatio","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.077",NA,"0.781"
"FemaleRatio","Increase","Intrusion frequency","Intrusion diary","no","3611","41","47","63","-0.09"," [-0.75, 0.56]",NA,"-0.277387","0.781483"
"Moderation Analysis: FemaleRatio","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.064",NA,"0.801"
"FemaleRatio","Increase","Intrusion frequency","Intrusion diary","yes","3352","38","44","59","-0.07"," [-0.60, 0.46]",NA,"-0.252112","0.800954"
