"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Instruction","Increase","Intrusion frequency","Self-report questionnaire","no","56","1","1","1","0.21"," [-0.45, 0.87]",NA,"0.620804","0.534729"
"Task","Increase","Intrusion frequency","Self-report questionnaire","no","313","4","4","8","-0.11"," [-0.30, 0.08]",NA,"-1.143690","0.252752"
"Moderation Analysis: Step4b_Task_Instruction","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.838",NA,"0.360"
"Instruction","Increase","Intrusion frequency","Self-report questionnaire","yes","56","1","1","1","0.21"," [-0.45, 0.87]",NA,"0.620804","0.534729"
"Task","Increase","Intrusion frequency","Self-report questionnaire","yes","313","4","4","8","-0.11"," [-0.30, 0.08]",NA,"-1.143690","0.252752"
"Moderation Analysis: ComparisonType","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.571",NA,"0.450"
"Experimental task","Increase","Intrusion frequency","Self-report questionnaire","no","431","5","5","9","-0.06"," [-0.24, 0.12]",NA,"-0.608736","0.542700"
"No-task","Increase","Intrusion frequency","Self-report questionnaire","no","56","1","1","1","0.21"," [-0.45, 0.87]",NA,"0.617694","0.536777"
"Moderation Analysis: ComparisonType","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.571",NA,"0.450"
"Experimental task","Increase","Intrusion frequency","Self-report questionnaire","yes","431","5","5","9","-0.06"," [-0.24, 0.12]",NA,"-0.608736","0.542700"
"No-task","Increase","Intrusion frequency","Self-report questionnaire","yes","56","1","1","1","0.21"," [-0.45, 0.87]",NA,"0.617694","0.536777"
"Moderation Analysis: TimeOfManipulation","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"3.422",NA,"0.331"
"Immediate + delayed post","Increase","Intrusion frequency","Self-report questionnaire","no","82","1","1","1","-0.32"," [-0.76, 0.13]",NA,"-1.390925","0.164248"
"Immediate post","Increase","Intrusion frequency","Self-report questionnaire","no","158","2","2","6","-0.04"," [-0.25, 0.17]",NA,"-0.404469","0.685868"
"Peri","Increase","Intrusion frequency","Self-report questionnaire","no","129","2","2","2","-0.02"," [-0.45, 0.41]",NA,"-0.111970","0.910847"
"Pre","Increase","Intrusion frequency","Self-report questionnaire","no","118","1","1","1","0.28"," [-0.17, 0.73]",NA,"1.221051","0.222067"
"Moderation Analysis: TimeOfManipulation","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.422",NA,"0.331"
"Immediate + delayed post","Increase","Intrusion frequency","Self-report questionnaire","yes","82","1","1","1","-0.32"," [-0.76, 0.13]",NA,"-1.390925","0.164248"
"Immediate post","Increase","Intrusion frequency","Self-report questionnaire","yes","158","2","2","6","-0.04"," [-0.25, 0.17]",NA,"-0.404469","0.685868"
"Peri","Increase","Intrusion frequency","Self-report questionnaire","yes","129","2","2","2","-0.02"," [-0.45, 0.41]",NA,"-0.111970","0.910847"
"Pre","Increase","Intrusion frequency","Self-report questionnaire","yes","118","1","1","1","0.28"," [-0.17, 0.73]",NA,"1.221051","0.222067"
"Moderation Analysis: Physio_binary","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"3.299",NA,"0.069"
"No","Increase","Intrusion frequency","Self-report questionnaire","no","348","4","4","7","0.06"," [-0.13, 0.25]",NA,"0.663375","0.507091"
"Yes","Increase","Intrusion frequency","Self-report questionnaire","no","139","2","2","3","-0.25"," [-0.53, 0.03]",NA,"-1.742431","0.081433"
"Moderation Analysis: Physio_binary","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.299",NA,"0.069"
"No","Increase","Intrusion frequency","Self-report questionnaire","yes","348","4","4","7","0.06"," [-0.13, 0.25]",NA,"0.663375","0.507091"
"Yes","Increase","Intrusion frequency","Self-report questionnaire","yes","139","2","2","3","-0.25"," [-0.53, 0.03]",NA,"-1.742431","0.081433"
"Moderation Analysis: PublicationStatus","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.446",NA,"0.504"
"Published","Increase","Intrusion frequency","Self-report questionnaire","no","349","4","4","8","-0.01"," [-0.19, 0.17]",NA,"-0.085350","0.931983"
"Unpublished","Increase","Intrusion frequency","Self-report questionnaire","no","138","2","2","2","-0.15"," [-0.52, 0.22]",NA,"-0.786974","0.431297"
"Moderation Analysis: PublicationStatus","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.446",NA,"0.504"
"Published","Increase","Intrusion frequency","Self-report questionnaire","yes","349","4","4","8","-0.01"," [-0.19, 0.17]",NA,"-0.085350","0.931983"
"Unpublished","Increase","Intrusion frequency","Self-report questionnaire","yes","138","2","2","2","-0.15"," [-0.52, 0.22]",NA,"-0.786974","0.431297"
"Moderation Analysis: Country_RegionofOrigin","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"3.148",NA,"0.369"
"Australia","Increase","Intrusion frequency","Self-report questionnaire","no","57","1","1","2","-0.21"," [-0.58, 0.17]",NA,"-1.080441","0.279946"
"England","Increase","Intrusion frequency","Self-report questionnaire","no","138","2","2","2","-0.15"," [-0.51, 0.22]",NA,"-0.802332","0.422361"
"Germany","Increase","Intrusion frequency","Self-report questionnaire","no","118","1","1","1","0.28"," [-0.17, 0.73]",NA,"1.229579","0.218855"
"Netherlands","Increase","Intrusion frequency","Self-report questionnaire","no","174","2","2","5","-0.01"," [-0.23, 0.22]",NA,"-0.065641","0.947664"
"Moderation Analysis: Country_RegionofOrigin","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.148",NA,"0.369"
"Australia","Increase","Intrusion frequency","Self-report questionnaire","yes","57","1","1","2","-0.21"," [-0.58, 0.17]",NA,"-1.080441","0.279946"
"England","Increase","Intrusion frequency","Self-report questionnaire","yes","138","2","2","2","-0.15"," [-0.51, 0.22]",NA,"-0.802332","0.422361"
"Germany","Increase","Intrusion frequency","Self-report questionnaire","yes","118","1","1","1","0.28"," [-0.17, 0.73]",NA,"1.229579","0.218855"
"Netherlands","Increase","Intrusion frequency","Self-report questionnaire","yes","174","2","2","5","-0.01"," [-0.23, 0.22]",NA,"-0.065641","0.947664"
"Moderation Analysis: Continent","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"1.014",NA,"0.314"
"Australia","Increase","Intrusion frequency","Self-report questionnaire","no","57","1","1","2","-0.21"," [-0.57, 0.16]",NA,"-1.090285","0.275588"
"Europe","Increase","Intrusion frequency","Self-report questionnaire","no","430","5","5","8","0.00"," [-0.17, 0.18]",NA,"0.048451","0.961357"
"Moderation Analysis: Continent","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.014",NA,"0.314"
"Australia","Increase","Intrusion frequency","Self-report questionnaire","yes","57","1","1","2","-0.21"," [-0.57, 0.16]",NA,"-1.090285","0.275588"
"Europe","Increase","Intrusion frequency","Self-report questionnaire","yes","430","5","5","8","0.00"," [-0.17, 0.18]",NA,"0.048451","0.961357"
"Moderation Analysis: MeanAge","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.116",NA,"0.733"
"MeanAge","Increase","Intrusion frequency","Self-report questionnaire","no","487","6","6","10","0.02"," [-0.10, 0.14]",NA,"0.341054","0.733063"
"Moderation Analysis: MeanAge","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.116",NA,"0.733"
"MeanAge","Increase","Intrusion frequency","Self-report questionnaire","yes","487","6","6","10","0.02"," [-0.10, 0.14]",NA,"0.341054","0.733063"
"Moderation Analysis: FemaleRatio","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.114",NA,"0.735"
"FemaleRatio","Increase","Intrusion frequency","Self-report questionnaire","no","487","6","6","10","-0.22"," [-1.47, 1.04]",NA,"-0.337908","0.735432"
"Moderation Analysis: FemaleRatio","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.114",NA,"0.735"
"FemaleRatio","Increase","Intrusion frequency","Self-report questionnaire","yes","487","6","6","10","-0.22"," [-1.47, 1.04]",NA,"-0.337908","0.735432"
