"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Experimental task","All","Intrusion symptoms",NA,"no","2808","32","35","57","0.02"," [-0.09, 0.12]",NA,"0.302287","0.762434"
"No-task","All","Intrusion symptoms",NA,"no","1922","16","20","43","0.16"," [0.03, 0.29]",NA,"2.389702","0.016862"
"Moderation Analysis: ComparisonType","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"2.501",NA,"0.114"
"Experimental task","All","Intrusion symptoms",NA,"yes","2808","32","35","54","0.05"," [-0.05, 0.15]",NA,"1.020715","0.307389"
"No-task","All","Intrusion symptoms",NA,"yes","1877","15","19","41","0.18"," [0.05, 0.30]",NA,"2.835480","0.004576"
"Moderation Analysis: StudyDesign","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.014",NA,"0.907"
"Between-subject","All","Intrusion symptoms",NA,"no","4634","47","54","99","0.07"," [-0.01, 0.16]",NA,"1.647802","0.099393"
"Within-subject","All","Intrusion symptoms",NA,"no","96","1","1","1","0.11"," [-0.51, 0.74]",NA,"0.348504","0.727462"
"Moderation Analysis: StudyDesign","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.002",NA,"0.963"
"Between-subject","All","Intrusion symptoms",NA,"yes","4589","46","53","94","0.10"," [0.02, 0.18]",NA,"2.417685","0.015620"
"Within-subject","All","Intrusion symptoms",NA,"yes","96","1","1","1","0.11"," [-0.41, 0.63]",NA,"0.419146","0.675109"
"Moderation Analysis: TimeOfManipulation","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"6.575",NA,"0.254"
"Delayed post","All","Intrusion symptoms",NA,"no","545","6","7","15","0.02"," [-0.21, 0.25]",NA,"0.146716","0.883356"
"Immediate + delayed post","All","Intrusion symptoms",NA,"no","112","1","1","2","0.44"," [-0.13, 1.01]",NA,"1.519328","0.128680"
"Immediate post","All","Intrusion symptoms",NA,"no","2864","30","35","63","0.10"," [-0.01, 0.21]",NA,"1.855754","0.063489"
"Peri","All","Intrusion symptoms",NA,"no","630","7","7","12","0.10"," [-0.14, 0.35]",NA,"0.844660","0.398301"
"Peri + immediate post","All","Intrusion symptoms",NA,"no","67","1","1","1","-0.63"," [-1.36, 0.10]",NA,"-1.693980","0.090269"
"Pre","All","Intrusion symptoms",NA,"no","597","5","5","7","-0.05"," [-0.32, 0.22]",NA,"-0.369228","0.711957"
"Moderation Analysis: TimeOfManipulation","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"10.376",NA,"0.065"
"Delayed post","All","Intrusion symptoms",NA,"yes","545","6","7","14","0.06"," [-0.15, 0.28]",NA,"0.583220","0.559745"
"Immediate + delayed post","All","Intrusion symptoms",NA,"yes","112","1","1","2","0.44"," [-0.06, 0.94]",NA,"1.731725","0.083323"
"Immediate post","All","Intrusion symptoms",NA,"yes","2819","29","34","59","0.14"," [0.04, 0.23]",NA,"2.877014","0.004015"
"Peri","All","Intrusion symptoms",NA,"yes","630","7","7","12","0.11"," [-0.11, 0.32]",NA,"0.967542","0.333273"
"Peri + immediate post","All","Intrusion symptoms",NA,"yes","67","1","1","1","-0.63"," [-1.26, -0.00]",NA,"-1.960438","0.049945"
"Pre","All","Intrusion symptoms",NA,"yes","597","5","5","7","-0.09"," [-0.32, 0.14]",NA,"-0.740796","0.458817"
"Moderation Analysis: Physio_binary","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.049",NA,"0.825"
"No","All","Intrusion symptoms",NA,"no","3784","37","43","81","0.08"," [-0.02, 0.18]",NA,"1.603110","0.108910"
"Yes","All","Intrusion symptoms",NA,"no","946","12","12","19","0.06"," [-0.14, 0.25]",NA,"0.556184","0.578085"
"Moderation Analysis: Physio_binary","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.026",NA,"0.871"
"No","All","Intrusion symptoms",NA,"yes","3739","36","42","77","0.10"," [0.01, 0.19]",NA,"2.265892","0.023458"
"Yes","All","Intrusion symptoms",NA,"yes","946","12","12","18","0.09"," [-0.09, 0.26]",NA,"0.949815","0.342206"
"Moderation Analysis: PublicationStatus","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"1.449",NA,"0.229"
"Published","All","Intrusion symptoms",NA,"no","4529","44","51","93","0.09"," [-0.00, 0.18]",NA,"1.953220","0.050794"
"Unpublished","All","Intrusion symptoms",NA,"no","201","4","4","7","-0.13"," [-0.47, 0.21]",NA,"-0.735012","0.462332"
"Moderation Analysis: PublicationStatus","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"2.184",NA,"0.139"
"Published","All","Intrusion symptoms",NA,"yes","4484","43","50","88","0.11"," [0.03, 0.20]",NA,"2.796536","0.005165"
"Unpublished","All","Intrusion symptoms",NA,"yes","201","4","4","7","-0.13"," [-0.44, 0.18]",NA,"-0.800244","0.423569"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"12.338",NA,"0.263"
"Australia","All","Intrusion symptoms",NA,"no","1183","16","17","30","-0.10"," [-0.26, 0.06]",NA,"-1.261609","0.207090"
"Belgium/Australia","All","Intrusion symptoms",NA,"no","74","1","1","2","0.00"," [-0.61, 0.62]",NA,"0.003011","0.997598"
"England","All","Intrusion symptoms",NA,"no","496","8","9","15","0.17"," [-0.05, 0.40]",NA,"1.490821","0.136009"
"Germany","All","Intrusion symptoms",NA,"no","824","8","8","15","0.20"," [-0.00, 0.41]",NA,"1.913259","0.055715"
"Hong Kong SAR","All","Intrusion symptoms",NA,"no","240","2","3","3","0.43"," [0.02, 0.83]",NA,"2.080755","0.037456"
"Israel","All","Intrusion symptoms",NA,"no","60","1","1","1","0.39"," [-0.35, 1.13]",NA,"1.030157","0.302937"
"Netherlands","All","Intrusion symptoms",NA,"no","715","5","8","18","0.13"," [-0.07, 0.34]",NA,"1.275567","0.202109"
"Norway","All","Intrusion symptoms",NA,"no","149","1","1","3","-0.15"," [-0.66, 0.36]",NA,"-0.574394","0.565701"
"Online","All","Intrusion symptoms",NA,"no","293","1","1","1","0.14"," [-0.44, 0.73]",NA,"0.474366","0.635239"
"Sweden","All","Intrusion symptoms",NA,"no","41","1","1","3","-0.16"," [-0.83, 0.51]",NA,"-0.460324","0.645284"
"USA","All","Intrusion symptoms",NA,"no","655","5","5","9","0.04"," [-0.24, 0.31]",NA,"0.262430","0.792990"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"12.593",NA,"0.247"
"Australia","All","Intrusion symptoms",NA,"yes","1138","15","16","26","-0.05"," [-0.20, 0.10]",NA,"-0.694681","0.487255"
"Belgium/Australia","All","Intrusion symptoms",NA,"yes","74","1","1","2","-0.00"," [-0.57, 0.57]",NA,"-0.001025","0.999182"
"England","All","Intrusion symptoms",NA,"yes","496","8","9","15","0.18"," [-0.03, 0.39]",NA,"1.670996","0.094723"
"Germany","All","Intrusion symptoms",NA,"yes","824","8","8","15","0.20"," [0.01, 0.38]",NA,"2.084295","0.037133"
"Hong Kong SAR","All","Intrusion symptoms",NA,"yes","240","2","3","3","0.43"," [0.08, 0.78]",NA,"2.402805","0.016270"
"Israel","All","Intrusion symptoms",NA,"yes","60","1","1","1","0.39"," [-0.27, 1.05]",NA,"1.161293","0.245523"
"Netherlands","All","Intrusion symptoms",NA,"yes","715","5","8","17","0.17"," [-0.02, 0.37]",NA,"1.791637","0.073191"
"Norway","All","Intrusion symptoms",NA,"yes","149","1","1","3","-0.15"," [-0.62, 0.32]",NA,"-0.621272","0.534421"
"Online","All","Intrusion symptoms",NA,"yes","293","1","1","1","0.14"," [-0.33, 0.62]",NA,"0.584933","0.558593"
"Sweden","All","Intrusion symptoms",NA,"yes","41","1","1","3","-0.16"," [-0.80, 0.48]",NA,"-0.476890","0.633440"
"USA","All","Intrusion symptoms",NA,"yes","655","5","5","9","0.03"," [-0.22, 0.27]",NA,"0.208117","0.835137"
"Moderation Analysis: Continent","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"10.341",NA,"0.066"
"Asia","All","Intrusion symptoms",NA,"no","300","3","4","4","0.42"," [0.07, 0.77]",NA,"2.368739","0.017849"
"Australia","All","Intrusion symptoms",NA,"no","1183","16","17","30","-0.10"," [-0.25, 0.05]",NA,"-1.293236","0.195930"
"Australia/europe","All","Intrusion symptoms",NA,"no","74","1","1","2","0.00"," [-0.60, 0.60]",NA,"0.002863","0.997715"
"Europe","All","Intrusion symptoms",NA,"no","2225","23","27","54","0.14"," [0.03, 0.26]",NA,"2.423938","0.015353"
"North america","All","Intrusion symptoms",NA,"no","655","5","5","9","0.04"," [-0.22, 0.31]",NA,"0.297538","0.766056"
"Online","All","Intrusion symptoms",NA,"no","293","1","1","1","0.14"," [-0.43, 0.71]",NA,"0.488604","0.625122"
"Moderation Analysis: Continent","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"10.139",NA,"0.071"
"Asia","All","Intrusion symptoms",NA,"yes","300","3","4","4","0.42"," [0.12, 0.73]",NA,"2.717158","0.006585"
"Australia","All","Intrusion symptoms",NA,"yes","1138","15","16","26","-0.05"," [-0.20, 0.09]",NA,"-0.710124","0.477628"
"Australia/europe","All","Intrusion symptoms",NA,"yes","74","1","1","2","-0.00"," [-0.56, 0.55]",NA,"-0.001232","0.999017"
"Europe","All","Intrusion symptoms",NA,"yes","2225","23","27","53","0.16"," [0.05, 0.26]",NA,"2.913143","0.003578"
"North america","All","Intrusion symptoms",NA,"yes","655","5","5","9","0.03"," [-0.21, 0.27]",NA,"0.244165","0.807103"
"Online","All","Intrusion symptoms",NA,"yes","293","1","1","1","0.14"," [-0.32, 0.60]",NA,"0.603253","0.546340"
"Moderation Analysis: MeanAge","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"2.490",NA,"0.115"
"MeanAge","All","Intrusion symptoms",NA,"no","4447","46","53","96","0.02"," [-0.00, 0.05]",NA,"1.578002","0.114565"
"Moderation Analysis: MeanAge","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"1.595",NA,"0.207"
"MeanAge","All","Intrusion symptoms",NA,"yes","4402","45","52","91","0.01"," [-0.01, 0.04]",NA,"1.263093","0.206556"
"Moderation Analysis: FemaleRatio","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.731",NA,"0.393"
"FemaleRatio","All","Intrusion symptoms",NA,"no","4730","48","55","100","-0.23"," [-0.76, 0.30]",NA,"-0.854908","0.392602"
"Moderation Analysis: FemaleRatio","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.439",NA,"0.508"
"FemaleRatio","All","Intrusion symptoms",NA,"yes","4685","47","54","95","-0.16"," [-0.65, 0.32]",NA,"-0.662695","0.507526"
