"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Austria","Decrease","Intrusion frequency","Intrusion diary","no","84","1","1","1","0.24"," [-0.57, 1.04]",NA,"0.572630","0.566895"
"Belgium, Netherlands","Decrease","Intrusion frequency","Intrusion diary","no","61","1","1","1","0.36"," [-0.40, 1.11]",NA,"0.922639","0.356195"
"Belgium/Australia","Decrease","Intrusion frequency","Intrusion diary","no","74","1","1","1","-0.03"," [-0.90, 0.84]",NA,"-0.072850","0.941926"
"China","Decrease","Intrusion frequency","Intrusion diary","no","66","1","1","2","0.68"," [-0.07, 1.43]",NA,"1.778435","0.075332"
"England","Decrease","Intrusion frequency","Intrusion diary","no","2015","27","34","44","0.41"," [0.26, 0.56]",NA,"5.360682","0.000000"
"Germany","Decrease","Intrusion frequency","Intrusion diary","no","1169","11","11","18","0.22"," [-0.01, 0.45]",NA,"1.878210","0.060352"
"Hong Kong SAR","Decrease","Intrusion frequency","Intrusion diary","no","240","2","3","3","0.43"," [-0.03, 0.89]",NA,"1.831211","0.067069"
"Israel","Decrease","Intrusion frequency","Intrusion diary","no","60","1","1","1","0.26"," [-0.57, 1.10]",NA,"0.611084","0.541144"
"Netherlands","Decrease","Intrusion frequency","Intrusion diary","no","1625","17","21","40","0.28"," [0.11, 0.45]",NA,"3.227828","0.001247"
"Norway","Decrease","Intrusion frequency","Intrusion diary","no","149","1","1","2","-0.04"," [-0.78, 0.70]",NA,"-0.105712","0.915811"
"Sweden","Decrease","Intrusion frequency","Intrusion diary","no","122","2","2","7","0.23"," [-0.34, 0.80]",NA,"0.800005","0.423708"
"Switzerland","Decrease","Intrusion frequency","Intrusion diary","no","231","3","3","3","0.38"," [-0.11, 0.86]",NA,"1.521727","0.128078"
"USA","Decrease","Intrusion frequency","Intrusion diary","no","443","6","6","7","-0.00"," [-0.34, 0.34]",NA,"-0.004582","0.996344"
"Moderation Analysis: Country_RegionofOrigin","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"8.800",NA,"0.788"
"Australia","Decrease","Intrusion frequency","Intrusion diary","yes","280","3","3","4","-0.04"," [-0.44, 0.37]",NA,"-0.170922","0.864285"
"Austria","Decrease","Intrusion frequency","Intrusion diary","yes","84","1","1","1","0.24"," [-0.48, 0.95]",NA,"0.648209","0.516850"
"Belgium, Netherlands","Decrease","Intrusion frequency","Intrusion diary","yes","61","1","1","1","0.36"," [-0.30, 1.01]",NA,"1.066462","0.286215"
"Belgium/Australia","Decrease","Intrusion frequency","Intrusion diary","yes","74","1","1","1","-0.03"," [-0.81, 0.75]",NA,"-0.080987","0.935452"
"China","Decrease","Intrusion frequency","Intrusion diary","yes","66","1","1","2","0.68"," [0.03, 1.33]",NA,"2.061218","0.039282"
"England","Decrease","Intrusion frequency","Intrusion diary","yes","1821","25","30","39","0.39"," [0.25, 0.53]",NA,"5.375755","0.000000"
"Germany","Decrease","Intrusion frequency","Intrusion diary","yes","1169","11","11","18","0.21"," [0.01, 0.41]",NA,"2.100193","0.035712"
"Hong Kong SAR","Decrease","Intrusion frequency","Intrusion diary","yes","240","2","3","3","0.43"," [0.03, 0.84]",NA,"2.086704","0.036915"
"Israel","Decrease","Intrusion frequency","Intrusion diary","yes","60","1","1","1","0.26"," [-0.48, 1.00]",NA,"0.685812","0.492832"
"Netherlands","Decrease","Intrusion frequency","Intrusion diary","yes","1625","17","21","40","0.27"," [0.13, 0.42]",NA,"3.596476","0.000323"
"Norway","Decrease","Intrusion frequency","Intrusion diary","yes","149","1","1","2","-0.04"," [-0.67, 0.59]",NA,"-0.123240","0.901917"
"Sweden","Decrease","Intrusion frequency","Intrusion diary","yes","122","2","2","7","0.25"," [-0.25, 0.74]",NA,"0.963955","0.335069"
"Switzerland","Decrease","Intrusion frequency","Intrusion diary","yes","231","3","3","3","0.38"," [-0.06, 0.81]",NA,"1.706254","0.087961"
"USA","Decrease","Intrusion frequency","Intrusion diary","yes","278","4","4","5","0.25"," [-0.12, 0.63]",NA,"1.336534","0.181375"
"Moderation Analysis: Continent","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"7.069",NA,"0.132"
"Asia","Decrease","Intrusion frequency","Intrusion diary","no","366","4","5","6","0.46"," [0.12, 0.80]",NA,"2.628365","0.008580"
"Australia","Decrease","Intrusion frequency","Intrusion diary","no","280","3","3","4","-0.04"," [-0.48, 0.40]",NA,"-0.178338","0.858457"
"Australia/europe","Decrease","Intrusion frequency","Intrusion diary","no","74","1","1","1","-0.03"," [-0.87, 0.81]",NA,"-0.075420","0.939881"
"Europe","Decrease","Intrusion frequency","Intrusion diary","no","5456","63","74","116","0.32"," [0.23, 0.41]",NA,"6.811895","0.000000"
"North america","Decrease","Intrusion frequency","Intrusion diary","no","443","6","6","7","-0.00"," [-0.33, 0.32]",NA,"-0.014991","0.988040"
"Moderation Analysis: Continent","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"4.627",NA,"0.328"
"Asia","Decrease","Intrusion frequency","Intrusion diary","yes","366","4","5","6","0.46"," [0.16, 0.76]",NA,"2.980956","0.002873"
"Australia","Decrease","Intrusion frequency","Intrusion diary","yes","280","3","3","4","-0.03"," [-0.43, 0.36]",NA,"-0.166626","0.867664"
"Australia/europe","Decrease","Intrusion frequency","Intrusion diary","yes","74","1","1","1","-0.03"," [-0.79, 0.73]",NA,"-0.082917","0.933918"
"Europe","Decrease","Intrusion frequency","Intrusion diary","yes","5262","61","70","111","0.30"," [0.22, 0.38]",NA,"7.095550","0.000000"
"North america","Decrease","Intrusion frequency","Intrusion diary","yes","278","4","4","5","0.25"," [-0.11, 0.62]",NA,"1.362222","0.173128"
"Moderation Analysis: MeanAge","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.328",NA,"0.567"
"MeanAge","Decrease","Intrusion frequency","Intrusion diary","no","6441","73","86","129","0.01"," [-0.02, 0.03]",NA,"0.572814","0.566770"
"Moderation Analysis: MeanAge","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.170",NA,"0.680"
"MeanAge","Decrease","Intrusion frequency","Intrusion diary","yes","6082","69","80","122","0.00"," [-0.02, 0.03]",NA,"0.411883","0.680425"
"Moderation Analysis: FemaleRatio","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"5.359",NA,"0.021"
"FemaleRatio","Decrease","Intrusion frequency","Intrusion diary","no","6579","75","88","132","-0.59"," [-1.10, -0.09]",NA,"-2.314917","0.020617"
"Moderation Analysis: FemaleRatio","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"3.996",NA,"0.046"
"FemaleRatio","Decrease","Intrusion frequency","Intrusion diary","yes","6220","71","82","125","-0.48"," [-0.94, -0.01]",NA,"-1.999119","0.045595"
