"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.231",NA,"0.631"
"Film","Decrease","Intrusion frequency","Self-report questionnaire","yes","1077","10","11","20","0.31"," [0.07, 0.54]",NA,"2.582715","0.009803"
"Picture","Decrease","Intrusion frequency","Self-report questionnaire","yes","214","2","2","4","0.17"," [-0.32, 0.67]",NA,"0.694448","0.487401"
"Moderation Analysis: ComparisonType","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.823",NA,"0.093"
"Experimental task","Decrease","Intrusion frequency","Self-report questionnaire","no","1179","10","11","24","0.21"," [0.00, 0.42]",NA,"1.965293","0.049380"
"No-task","Decrease","Intrusion frequency","Self-report questionnaire","no","112","2","2","2","0.80"," [0.15, 1.45]",NA,"2.400793","0.016360"
"Moderation Analysis: ComparisonType","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.963",NA,"0.085"
"Experimental task","Decrease","Intrusion frequency","Self-report questionnaire","yes","1179","10","11","22","0.22"," [0.02, 0.42]",NA,"2.167267","0.030214"
"No-task","Decrease","Intrusion frequency","Self-report questionnaire","yes","112","2","2","2","0.80"," [0.17, 1.43]",NA,"2.484217","0.012984"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"4.801",NA,"0.187"
"Delayed post","Decrease","Intrusion frequency","Self-report questionnaire","no","517","3","3","10","-0.06"," [-0.41, 0.29]",NA,"-0.329585","0.741714"
"Immediate post","Decrease","Intrusion frequency","Self-report questionnaire","no","494","6","6","12","0.43"," [0.14, 0.72]",NA,"2.924587","0.003449"
"Peri","Decrease","Intrusion frequency","Self-report questionnaire","no","129","2","2","2","0.31"," [-0.28, 0.89]",NA,"1.036640","0.299904"
"Pre","Decrease","Intrusion frequency","Self-report questionnaire","no","151","2","2","2","0.41"," [-0.15, 0.97]",NA,"1.440316","0.149778"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"4.538",NA,"0.209"
"Delayed post","Decrease","Intrusion frequency","Self-report questionnaire","yes","517","3","3","8","-0.03"," [-0.36, 0.31]",NA,"-0.161564","0.871649"
"Immediate post","Decrease","Intrusion frequency","Self-report questionnaire","yes","494","6","6","12","0.42"," [0.15, 0.70]",NA,"3.036682","0.002392"
"Peri","Decrease","Intrusion frequency","Self-report questionnaire","yes","129","2","2","2","0.31"," [-0.26, 0.87]",NA,"1.063763","0.287436"
"Pre","Decrease","Intrusion frequency","Self-report questionnaire","yes","151","2","2","2","0.41"," [-0.13, 0.95]",NA,"1.475965","0.139953"
"Moderation Analysis: Physio_binary","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.378",NA,"0.539"
"No","Decrease","Intrusion frequency","Self-report questionnaire","no","854","9","10","18","0.32"," [0.06, 0.59]",NA,"2.408056","0.016038"
"Yes","Decrease","Intrusion frequency","Self-report questionnaire","no","437","3","3","8","0.17"," [-0.25, 0.59]",NA,"0.787450","0.431019"
"Moderation Analysis: Physio_binary","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.467",NA,"0.494"
"No","Decrease","Intrusion frequency","Self-report questionnaire","yes","854","9","10","16","0.33"," [0.08, 0.58]",NA,"2.591426","0.009558"
"Yes","Decrease","Intrusion frequency","Self-report questionnaire","yes","437","3","3","8","0.17"," [-0.22, 0.56]",NA,"0.842983","0.399238"
"Moderation Analysis: PublicationStatus","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.044",NA,"0.834"
"Published","Decrease","Intrusion frequency","Self-report questionnaire","no","1062","10","11","22","0.27"," [0.03, 0.51]",NA,"2.181982","0.029111"
"Unpublished","Decrease","Intrusion frequency","Self-report questionnaire","no","229","2","2","4","0.33"," [-0.23, 0.90]",NA,"1.155055","0.248068"
"Moderation Analysis: PublicationStatus","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.031",NA,"0.860"
"Published","Decrease","Intrusion frequency","Self-report questionnaire","yes","1062","10","11","20","0.27"," [0.05, 0.50]",NA,"2.354859","0.018530"
"Unpublished","Decrease","Intrusion frequency","Self-report questionnaire","yes","229","2","2","4","0.33"," [-0.21, 0.86]",NA,"1.194334","0.232347"
"Moderation Analysis: Country_RegionofOrigin","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"4.790",NA,"0.310"
"Australia","Decrease","Intrusion frequency","Self-report questionnaire","no","107","1","1","2","0.84"," [0.17, 1.52]",NA,"2.448195","0.014357"
"England","Decrease","Intrusion frequency","Self-report questionnaire","no","326","4","4","6","0.38"," [0.01, 0.76]",NA,"2.003125","0.045164"
"Germany","Decrease","Intrusion frequency","Self-report questionnaire","no","299","2","2","2","0.14"," [-0.35, 0.62]",NA,"0.551873","0.581035"
"Netherlands","Decrease","Intrusion frequency","Self-report questionnaire","no","190","2","3","6","0.26"," [-0.18, 0.69]",NA,"1.155118","0.248042"
"USA","Decrease","Intrusion frequency","Self-report questionnaire","no","369","3","3","10","0.04"," [-0.35, 0.43]",NA,"0.186903","0.851737"
"Moderation Analysis: Country_RegionofOrigin","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"5.242",NA,"0.263"
"Australia","Decrease","Intrusion frequency","Self-report questionnaire","yes","107","1","1","2","0.84"," [0.22, 1.47]",NA,"2.657843","0.007864"
"England","Decrease","Intrusion frequency","Self-report questionnaire","yes","326","4","4","6","0.37"," [0.02, 0.72]",NA,"2.084017","0.037159"
"Germany","Decrease","Intrusion frequency","Self-report questionnaire","yes","299","2","2","2","0.14"," [-0.31, 0.58]",NA,"0.596313","0.550966"
"Netherlands","Decrease","Intrusion frequency","Self-report questionnaire","yes","190","2","3","6","0.26"," [-0.15, 0.66]",NA,"1.233650","0.217333"
"USA","Decrease","Intrusion frequency","Self-report questionnaire","yes","369","3","3","8","0.06"," [-0.30, 0.42]",NA,"0.334702","0.737850"
"Moderation Analysis: Continent","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"6.018",NA,"0.049"
"Australia","Decrease","Intrusion frequency","Self-report questionnaire","no","107","1","1","2","0.84"," [0.26, 1.43]",NA,"2.815495","0.004870"
"Europe","Decrease","Intrusion frequency","Self-report questionnaire","no","815","8","9","14","0.27"," [0.05, 0.48]",NA,"2.438861","0.014734"
"North america","Decrease","Intrusion frequency","Self-report questionnaire","no","369","3","3","10","0.01"," [-0.33, 0.34]",NA,"0.035912","0.971353"
"Moderation Analysis: Continent","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"6.943",NA,"0.031"
"Australia","Decrease","Intrusion frequency","Self-report questionnaire","yes","107","1","1","2","0.84"," [0.31, 1.38]",NA,"3.116273","0.001832"
"Europe","Decrease","Intrusion frequency","Self-report questionnaire","yes","815","8","9","14","0.26"," [0.06, 0.45]",NA,"2.594770","0.009465"
"North america","Decrease","Intrusion frequency","Self-report questionnaire","yes","369","3","3","8","0.03"," [-0.27, 0.33]",NA,"0.187796","0.851037"
"Moderation Analysis: MeanAge","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"1.509",NA,"0.219"
"MeanAge","Decrease","Intrusion frequency","Self-report questionnaire","no","1291","12","13","26","0.03"," [-0.02, 0.09]",NA,"1.228391","0.219300"
"Moderation Analysis: MeanAge","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.577",NA,"0.209"
"MeanAge","Decrease","Intrusion frequency","Self-report questionnaire","yes","1291","12","13","24","0.03"," [-0.02, 0.08]",NA,"1.255858","0.209167"
"Moderation Analysis: FemaleRatio","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.846",NA,"0.358"
"FemaleRatio","Decrease","Intrusion frequency","Self-report questionnaire","no","1291","12","13","26","-0.60"," [-1.87, 0.67]",NA,"-0.919657","0.357752"
"Moderation Analysis: FemaleRatio","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.947",NA,"0.331"
"FemaleRatio","Decrease","Intrusion frequency","Self-report questionnaire","yes","1291","12","13","24","-0.60"," [-1.81, 0.61]",NA,"-0.973099","0.330504"
