"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Unpublished","Decrease","Intrusion symptoms",NA,"no","141","3","3","3","-0.14"," [-0.56, 0.28]",NA,"-0.643973","0.519593"
"Moderation Analysis: PublicationStatus","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.277",NA,"0.599"
"Published","Decrease","Intrusion symptoms",NA,"yes","2818","25","31","42","0.28"," [0.19, 0.36]",NA,"6.372381","0.000000"
"Unpublished","Decrease","Intrusion symptoms",NA,"yes","92","2","2","2","0.15"," [-0.32, 0.62]",NA,"0.614702","0.538752"
"Moderation Analysis: Country_RegionofOrigin","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"7.452",NA,"0.590"
"Australia","Decrease","Intrusion symptoms",NA,"no","394","5","5","6","0.14"," [-0.16, 0.43]",NA,"0.909729","0.362965"
"Belgium/Australia","Decrease","Intrusion symptoms",NA,"no","74","1","1","1","-0.16"," [-0.87, 0.55]",NA,"-0.442874","0.657857"
"England","Decrease","Intrusion symptoms",NA,"no","344","5","6","7","0.43"," [0.14, 0.72]",NA,"2.881263","0.003961"
"Germany","Decrease","Intrusion symptoms",NA,"no","650","6","6","9","0.21"," [-0.02, 0.44]",NA,"1.775546","0.075808"
"Hong Kong SAR","Decrease","Intrusion symptoms",NA,"no","240","2","3","3","0.43"," [0.07, 0.79]",NA,"2.336098","0.019486"
"Israel","Decrease","Intrusion symptoms",NA,"no","60","1","1","1","0.39"," [-0.28, 1.06]",NA,"1.134921","0.256408"
"Netherlands","Decrease","Intrusion symptoms",NA,"no","630","4","7","11","0.24"," [0.01, 0.47]",NA,"2.007848","0.044659"
"Norway","Decrease","Intrusion symptoms",NA,"no","149","1","1","2","-0.03"," [-0.57, 0.50]",NA,"-0.115694","0.907895"
"Sweden","Decrease","Intrusion symptoms",NA,"no","41","1","1","2","0.03"," [-0.72, 0.78]",NA,"0.084336","0.932789"
"USA","Decrease","Intrusion symptoms",NA,"no","444","4","4","5","0.03"," [-0.28, 0.35]",NA,"0.206950","0.836049"
"Moderation Analysis: Country_RegionofOrigin","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"15.864",NA,"0.070"
"Australia","Decrease","Intrusion symptoms",NA,"yes","394","5","5","6","0.12"," [-0.08, 0.33]",NA,"1.172597","0.240957"
"Belgium/Australia","Decrease","Intrusion symptoms",NA,"yes","74","1","1","1","-0.16"," [-0.72, 0.40]",NA,"-0.562649","0.573674"
"England","Decrease","Intrusion symptoms",NA,"yes","344","5","6","7","0.44"," [0.21, 0.66]",NA,"3.849119","0.000119"
"Germany","Decrease","Intrusion symptoms",NA,"yes","650","6","6","8","0.27"," [0.12, 0.41]",NA,"3.550312","0.000385"
"Hong Kong SAR","Decrease","Intrusion symptoms",NA,"yes","240","2","3","3","0.44"," [0.18, 0.70]",NA,"3.370410","0.000751"
"Israel","Decrease","Intrusion symptoms",NA,"yes","60","1","1","1","0.39"," [-0.12, 0.90]",NA,"1.497272","0.134323"
"Netherlands","Decrease","Intrusion symptoms",NA,"yes","630","4","7","11","0.24"," [0.08, 0.40]",NA,"2.882383","0.003947"
"Norway","Decrease","Intrusion symptoms",NA,"yes","149","1","1","2","-0.03"," [-0.36, 0.29]",NA,"-0.189977","0.849327"
"Sweden","Decrease","Intrusion symptoms",NA,"yes","41","1","1","2","0.03"," [-0.58, 0.65]",NA,"0.103127","0.917862"
"USA","Decrease","Intrusion symptoms",NA,"yes","328","2","2","3","0.49"," [0.26, 0.72]",NA,"4.232055","0.000023"
"Moderation Analysis: Continent","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"4.587",NA,"0.332"
"Asia","Decrease","Intrusion symptoms",NA,"no","300","3","4","4","0.42"," [0.11, 0.73]",NA,"2.667299","0.007646"
"Australia","Decrease","Intrusion symptoms",NA,"no","394","5","5","6","0.14"," [-0.15, 0.42]",NA,"0.928499","0.353149"
"Australia/europe","Decrease","Intrusion symptoms",NA,"no","74","1","1","1","-0.16"," [-0.86, 0.54]",NA,"-0.452149","0.651162"
"Europe","Decrease","Intrusion symptoms",NA,"no","1814","17","21","31","0.24"," [0.11, 0.37]",NA,"3.634895","0.000278"
"North america","Decrease","Intrusion symptoms",NA,"no","444","4","4","5","0.04"," [-0.26, 0.34]",NA,"0.264892","0.791093"
"Moderation Analysis: Continent","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"9.612",NA,"0.047"
"Asia","Decrease","Intrusion symptoms",NA,"yes","300","3","4","4","0.43"," [0.20, 0.66]",NA,"3.670309","0.000242"
"Australia","Decrease","Intrusion symptoms",NA,"yes","394","5","5","6","0.12"," [-0.08, 0.33]",NA,"1.169036","0.242389"
"Australia/europe","Decrease","Intrusion symptoms",NA,"yes","74","1","1","1","-0.16"," [-0.72, 0.40]",NA,"-0.561400","0.574525"
"Europe","Decrease","Intrusion symptoms",NA,"yes","1814","17","21","30","0.26"," [0.16, 0.35]",NA,"5.423059","0.000000"
"North america","Decrease","Intrusion symptoms",NA,"yes","328","2","2","3","0.49"," [0.26, 0.72]",NA,"4.190584","0.000028"
"Moderation Analysis: MeanAge","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.438",NA,"0.508"
"MeanAge","Decrease","Intrusion symptoms",NA,"no","2954","28","34","46","0.01"," [-0.03, 0.05]",NA,"0.661874","0.508052"
"Moderation Analysis: MeanAge","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.352",NA,"0.553"
"MeanAge","Decrease","Intrusion symptoms",NA,"yes","2838","26","32","43","-0.01"," [-0.04, 0.02]",NA,"-0.593379","0.552928"
"Moderation Analysis: FemaleRatio","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"3.727",NA,"0.054"
"FemaleRatio","Decrease","Intrusion symptoms",NA,"no","3026","29","35","47","-0.66"," [-1.32, 0.01]",NA,"-1.930417","0.053555"
"Moderation Analysis: FemaleRatio","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"1.605",NA,"0.205"
"FemaleRatio","Decrease","Intrusion symptoms",NA,"yes","2910","27","33","44","-0.38"," [-0.97, 0.21]",NA,"-1.267077","0.205128"
