"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Sweden","All","Intrusion frequency","Intrusion diary","no","122","2","2","11","0.09"," [-0.46, 0.63]",NA,"0.312267","0.754838"
"Switzerland","All","Intrusion frequency","Intrusion diary","no","231","3","3","3","0.38"," [-0.13, 0.89]",NA,"1.449613","0.147166"
"USA","All","Intrusion frequency","Intrusion diary","no","708","8","8","13","-0.04"," [-0.33, 0.25]",NA,"-0.257608","0.796709"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"15.651",NA,"0.406"
"Australia","All","Intrusion frequency","Intrusion diary","yes","1042","11","12","21","0.03"," [-0.17, 0.23]",NA,"0.329465","0.741804"
"Austria","All","Intrusion frequency","Intrusion diary","yes","84","1","1","1","0.24"," [-0.49, 0.96]",NA,"0.637150","0.524027"
"Belgium, Netherlands","All","Intrusion frequency","Intrusion diary","yes","61","1","1","1","0.36"," [-0.31, 1.02]",NA,"1.044838","0.296098"
"Belgium/Australia","All","Intrusion frequency","Intrusion diary","yes","74","1","1","2","0.24"," [-0.45, 0.92]",NA,"0.675928","0.499087"
"China","All","Intrusion frequency","Intrusion diary","yes","66","1","1","2","0.68"," [0.02, 1.34]",NA,"2.032587","0.042094"
"England","All","Intrusion frequency","Intrusion diary","yes","2377","34","41","74","0.15"," [0.04, 0.27]",NA,"2.606005","0.009161"
"Germany","All","Intrusion frequency","Intrusion diary","yes","1604","15","15","34","0.15"," [-0.02, 0.32]",NA,"1.747212","0.080601"
"Hong Kong SAR","All","Intrusion frequency","Intrusion diary","yes","240","2","3","3","0.43"," [0.02, 0.85]",NA,"2.048973","0.040465"
"Israel","All","Intrusion frequency","Intrusion diary","yes","60","1","1","1","0.26"," [-0.50, 1.02]",NA,"0.674998","0.499677"
"Netherlands","All","Intrusion frequency","Intrusion diary","yes","1874","20","24","64","0.19"," [0.06, 0.33]",NA,"2.774460","0.005529"
"New Zealand","All","Intrusion frequency","Intrusion diary","yes","60","1","1","2","-0.39"," [-1.10, 0.32]",NA,"-1.087561","0.276789"
"Norway","All","Intrusion frequency","Intrusion diary","yes","149","1","1","3","-0.01"," [-0.62, 0.60]",NA,"-0.040184","0.967946"
"Scotland","All","Intrusion frequency","Intrusion diary","yes","38","1","1","1","-0.65"," [-1.51, 0.21]",NA,"-1.475964","0.139953"
"Sweden","All","Intrusion frequency","Intrusion diary","yes","122","2","2","11","0.09"," [-0.37, 0.55]",NA,"0.387993","0.698021"
"Switzerland","All","Intrusion frequency","Intrusion diary","yes","231","3","3","3","0.38"," [-0.06, 0.82]",NA,"1.679577","0.093040"
"USA","All","Intrusion frequency","Intrusion diary","yes","708","8","8","13","-0.04"," [-0.28, 0.21]",NA,"-0.298804","0.765090"
"Moderation Analysis: Continent","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"6.879",NA,"0.142"
"Asia","All","Intrusion frequency","Intrusion diary","no","366","4","5","6","0.46"," [0.10, 0.82]",NA,"2.478778","0.013183"
"Australia","All","Intrusion frequency","Intrusion diary","no","1102","12","13","24","-0.02"," [-0.24, 0.20]",NA,"-0.179176","0.857799"
"Australia/europe","All","Intrusion frequency","Intrusion diary","no","74","1","1","2","0.24"," [-0.54, 1.02]",NA,"0.596915","0.550564"
"Europe","All","Intrusion frequency","Intrusion diary","no","6735","80","94","203","0.16"," [0.08, 0.24]",NA,"3.843283","0.000121"
"North america","All","Intrusion frequency","Intrusion diary","no","708","8","8","13","-0.04"," [-0.32, 0.24]",NA,"-0.263671","0.792034"
"Moderation Analysis: Continent","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"8.706",NA,"0.069"
"Asia","All","Intrusion frequency","Intrusion diary","yes","366","4","5","6","0.46"," [0.15, 0.77]",NA,"2.913989","0.003568"
"Australia","All","Intrusion frequency","Intrusion diary","yes","1102","12","13","23","0.00"," [-0.18, 0.19]",NA,"0.029878","0.976164"
"Australia/europe","All","Intrusion frequency","Intrusion diary","yes","74","1","1","2","0.24"," [-0.43, 0.91]",NA,"0.693668","0.487890"
"Europe","All","Intrusion frequency","Intrusion diary","yes","6540","78","89","192","0.16"," [0.09, 0.23]",NA,"4.438743","0.000009"
"North america","All","Intrusion frequency","Intrusion diary","yes","708","8","8","13","-0.04"," [-0.28, 0.20]",NA,"-0.303587","0.761443"
"Moderation Analysis: MeanAge","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.519",NA,"0.471"
"MeanAge","All","Intrusion frequency","Intrusion diary","no","8540","99","115","238","0.01"," [-0.01, 0.03]",NA,"0.720707","0.471090"
"Moderation Analysis: MeanAge","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.149",NA,"0.699"
"MeanAge","All","Intrusion frequency","Intrusion diary","yes","8384","98","111","227","0.00"," [-0.02, 0.03]",NA,"0.386048","0.699461"
"Moderation Analysis: FemaleRatio","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.632",NA,"0.427"
"FemaleRatio","All","Intrusion frequency","Intrusion diary","no","8945","103","120","246","-0.16"," [-0.57, 0.24]",NA,"-0.795012","0.426606"
"Moderation Analysis: FemaleRatio","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"1.074",NA,"0.300"
"FemaleRatio","All","Intrusion frequency","Intrusion diary","yes","8750","101","115","234","-0.19"," [-0.54, 0.17]",NA,"-1.036572","0.299935"
