"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"England","All","Intrusion-related distress",NA,"no","988","15","15","30","0.05"," [-0.10, 0.21]",NA,"0.652407","0.514139"
"Germany","All","Intrusion-related distress",NA,"no","1540","13","13","22","0.02"," [-0.13, 0.17]",NA,"0.205774","0.836967"
"Hong Kong SAR","All","Intrusion-related distress",NA,"no","240","2","3","3","0.27"," [-0.09, 0.62]",NA,"1.461021","0.144010"
"Israel","All","Intrusion-related distress",NA,"no","60","1","1","1","0.46"," [-0.21, 1.13]",NA,"1.345037","0.178613"
"Netherlands","All","Intrusion-related distress",NA,"no","911","9","11","27","-0.04"," [-0.21, 0.13]",NA,"-0.435635","0.663102"
"New Zealand","All","Intrusion-related distress",NA,"no","60","1","1","2","-0.49"," [-1.11, 0.13]",NA,"-1.563405","0.117957"
"Scotland","All","Intrusion-related distress",NA,"no","38","1","1","1","-0.14"," [-0.90, 0.63]",NA,"-0.345543","0.729686"
"Sweden","All","Intrusion-related distress",NA,"no","41","1","1","3","0.13"," [-0.54, 0.79]",NA,"0.375345","0.707404"
"Switzerland","All","Intrusion-related distress",NA,"no","121","2","2","2","0.35"," [-0.13, 0.82]",NA,"1.433831","0.151620"
"USA","All","Intrusion-related distress",NA,"no","509","4","4","8","-0.11"," [-0.39, 0.17]",NA,"-0.764702","0.444449"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"11.503",NA,"0.486"
"Australia","All","Intrusion-related distress",NA,"yes","958","10","11","33","0.05"," [-0.09, 0.18]",NA,"0.656132","0.511739"
"Austria","All","Intrusion-related distress",NA,"yes","84","1","1","1","0.18"," [-0.39, 0.75]",NA,"0.612392","0.540278"
"Belgium/Australia","All","Intrusion-related distress",NA,"yes","74","1","1","2","0.04"," [-0.48, 0.56]",NA,"0.151985","0.879199"
"England","All","Intrusion-related distress",NA,"yes","988","15","15","28","0.06"," [-0.09, 0.20]",NA,"0.774952","0.438368"
"Germany","All","Intrusion-related distress",NA,"yes","1540","13","13","22","0.02"," [-0.11, 0.15]",NA,"0.227824","0.819783"
"Hong Kong SAR","All","Intrusion-related distress",NA,"yes","240","2","3","3","0.27"," [-0.05, 0.59]",NA,"1.641324","0.100730"
"Israel","All","Intrusion-related distress",NA,"yes","60","1","1","1","0.46"," [-0.15, 1.07]",NA,"1.468387","0.141999"
"Netherlands","All","Intrusion-related distress",NA,"yes","872","8","10","26","0.03"," [-0.12, 0.18]",NA,"0.412370","0.680069"
"New Zealand","All","Intrusion-related distress",NA,"yes","60","1","1","2","-0.49"," [-1.05, 0.06]",NA,"-1.735125","0.082719"
"Scotland","All","Intrusion-related distress",NA,"yes","38","1","1","1","-0.14"," [-0.85, 0.58]",NA,"-0.368780","0.712292"
"Sweden","All","Intrusion-related distress",NA,"yes","41","1","1","3","0.13"," [-0.48, 0.73]",NA,"0.410314","0.681576"
"Switzerland","All","Intrusion-related distress",NA,"yes","121","2","2","2","0.35"," [-0.09, 0.78]",NA,"1.572629","0.115805"
"USA","All","Intrusion-related distress",NA,"yes","509","4","4","8","-0.12"," [-0.36, 0.13]",NA,"-0.929442","0.352660"
"Moderation Analysis: Continent","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"7.130",NA,"0.129"
"Asia","All","Intrusion-related distress",NA,"no","366","4","5","5","0.38"," [0.10, 0.66]",NA,"2.686757","0.007215"
"Australia","All","Intrusion-related distress",NA,"no","1018","11","12","35","0.01"," [-0.14, 0.17]",NA,"0.180920","0.856430"
"Australia/europe","All","Intrusion-related distress",NA,"no","74","1","1","2","0.04"," [-0.54, 0.62]",NA,"0.138065","0.890189"
"Europe","All","Intrusion-related distress",NA,"no","3723","42","44","86","0.03"," [-0.06, 0.11]",NA,"0.630500","0.528368"
"North america","All","Intrusion-related distress",NA,"no","509","4","4","8","-0.11"," [-0.39, 0.17]",NA,"-0.790637","0.429156"
"Moderation Analysis: Continent","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"5.278",NA,"0.260"
"Asia","All","Intrusion-related distress",NA,"yes","300","3","4","4","0.31"," [0.03, 0.59]",NA,"2.154230","0.031222"
"Australia","All","Intrusion-related distress",NA,"yes","1018","11","12","35","0.02"," [-0.12, 0.15]",NA,"0.223698","0.822992"
"Australia/europe","All","Intrusion-related distress",NA,"yes","74","1","1","2","0.04"," [-0.48, 0.56]",NA,"0.153493","0.878009"
"Europe","All","Intrusion-related distress",NA,"yes","3684","41","43","83","0.05"," [-0.03, 0.12]",NA,"1.158240","0.246766"
"North america","All","Intrusion-related distress",NA,"yes","509","4","4","8","-0.12"," [-0.36, 0.13]",NA,"-0.945478","0.344415"
"Moderation Analysis: MeanAge","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"2.755",NA,"0.097"
"MeanAge","All","Intrusion-related distress",NA,"no","5374","58","63","132","0.02"," [-0.00, 0.04]",NA,"1.659923","0.096930"
"Moderation Analysis: MeanAge","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"3.018",NA,"0.082"
"MeanAge","All","Intrusion-related distress",NA,"yes","5374","58","63","130","0.02"," [-0.00, 0.04]",NA,"1.737249","0.082343"
"Moderation Analysis: FemaleRatio","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.746",NA,"0.388"
"FemaleRatio","All","Intrusion-related distress",NA,"no","5690","61","66","136","0.16"," [-0.20, 0.53]",NA,"0.863671","0.387769"
"Moderation Analysis: FemaleRatio","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.202",NA,"0.653"
"FemaleRatio","All","Intrusion-related distress",NA,"yes","5585","59","64","132","0.08"," [-0.25, 0.41]",NA,"0.449231","0.653265"
