"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.162",NA,"0.688"
"Instruction","Decrease","Intrusion-related distress",NA,"yes","145","2","2","3","0.02"," [-0.41, 0.45]",NA,"0.098024","0.921913"
"Task","Decrease","Intrusion-related distress",NA,"yes","3045","31","35","55","0.11"," [0.02, 0.20]",NA,"2.494318","0.012620"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.145",NA,"0.704"
"Audio","Decrease","Intrusion-related distress",NA,"no","41","1","1","2","0.25"," [-0.47, 0.97]",NA,"0.683910","0.494032"
"Film","Decrease","Intrusion-related distress",NA,"no","3840","39","43","67","0.11"," [0.03, 0.19]",NA,"2.593511","0.009500"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.203",NA,"0.652"
"Audio","Decrease","Intrusion-related distress",NA,"yes","41","1","1","2","0.25"," [-0.44, 0.94]",NA,"0.705347","0.480594"
"Film","Decrease","Intrusion-related distress",NA,"yes","3774","38","42","65","0.09"," [0.01, 0.17]",NA,"2.202586","0.027624"
"Moderation Analysis: ComparisonType","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.890",NA,"0.346"
"Experimental task","Decrease","Intrusion-related distress",NA,"no","2734","28","30","47","0.14"," [0.04, 0.24]",NA,"2.724683","0.006436"
"No-task","Decrease","Intrusion-related distress",NA,"no","1147","12","14","22","0.05"," [-0.10, 0.20]",NA,"0.641535","0.521175"
"Moderation Analysis: ComparisonType","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.398",NA,"0.528"
"Experimental task","Decrease","Intrusion-related distress",NA,"yes","2668","27","29","45","0.11"," [0.01, 0.20]",NA,"2.226980","0.025949"
"No-task","Decrease","Intrusion-related distress",NA,"yes","1147","12","14","22","0.05"," [-0.09, 0.20]",NA,"0.704424","0.481169"
"Moderation Analysis: StudyDesign","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.014",NA,"0.906"
"Between-subject","Decrease","Intrusion-related distress",NA,"no","3733","38","42","66","0.11"," [0.03, 0.20]",NA,"2.579567","0.009892"
"Within-subject","Decrease","Intrusion-related distress",NA,"no","148","2","2","3","0.09"," [-0.24, 0.42]",NA,"0.551995","0.580952"
"Moderation Analysis: StudyDesign","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.000",NA,"0.995"
"Between-subject","Decrease","Intrusion-related distress",NA,"yes","3667","37","41","64","0.09"," [0.01, 0.17]",NA,"2.172258","0.029836"
"Within-subject","Decrease","Intrusion-related distress",NA,"yes","148","2","2","3","0.09"," [-0.21, 0.40]",NA,"0.593466","0.552869"
"Moderation Analysis: ModeOfMeasurement","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"4.741",NA,"0.093"
"Intrusion diary","Decrease","Intrusion-related distress",NA,"no","3278","35","39","52","0.13"," [0.04, 0.21]",NA,"2.926445","0.003429"
"Lab-based intrusion monitoring task","Decrease","Intrusion-related distress",NA,"no","354","4","4","7","0.20"," [-0.02, 0.43]",NA,"1.764618","0.077628"
"Self-report questionnaire","Decrease","Intrusion-related distress",NA,"no","611","5","5","10","-0.08"," [-0.27, 0.12]",NA,"-0.735760","0.461876"
"Moderation Analysis: ModeOfMeasurement","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"5.246",NA,"0.073"
"Intrusion diary","Decrease","Intrusion-related distress",NA,"yes","3212","34","38","50","0.10"," [0.02, 0.19]",NA,"2.499660","0.012431"
"Lab-based intrusion monitoring task","Decrease","Intrusion-related distress",NA,"yes","354","4","4","7","0.20"," [-0.01, 0.42]",NA,"1.852420","0.063965"
"Self-report questionnaire","Decrease","Intrusion-related distress",NA,"yes","611","5","5","10","-0.09"," [-0.27, 0.10]",NA,"-0.911250","0.362164"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"5.396",NA,"0.249"
"Delayed post","Decrease","Intrusion-related distress",NA,"no","419","3","3","7","-0.11"," [-0.35, 0.13]",NA,"-0.900368","0.367924"
"Immediate + delayed post","Decrease","Intrusion-related distress",NA,"no","112","1","1","2","0.38"," [-0.08, 0.84]",NA,"1.610063","0.107384"
"Immediate post","Decrease","Intrusion-related distress",NA,"no","2573","26","29","45","0.12"," [0.02, 0.22]",NA,"2.421308","0.015465"
"Peri","Decrease","Intrusion-related distress",NA,"no","196","3","3","4","0.04"," [-0.33, 0.42]",NA,"0.214202","0.830390"
"Pre","Decrease","Intrusion-related distress",NA,"no","581","8","8","11","0.20"," [-0.01, 0.41]",NA,"1.871660","0.061254"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"6.496",NA,"0.165"
"Delayed post","Decrease","Intrusion-related distress",NA,"yes","419","3","3","7","-0.11"," [-0.32, 0.10]",NA,"-1.003048","0.315837"
"Immediate + delayed post","Decrease","Intrusion-related distress",NA,"yes","112","1","1","2","0.38"," [-0.04, 0.80]",NA,"1.771274","0.076515"
"Immediate post","Decrease","Intrusion-related distress",NA,"yes","2507","25","28","43","0.09"," [-0.00, 0.18]",NA,"1.932701","0.053273"
"Peri","Decrease","Intrusion-related distress",NA,"yes","196","3","3","4","0.04"," [-0.32, 0.40]",NA,"0.212157","0.831985"
"Pre","Decrease","Intrusion-related distress",NA,"yes","581","8","8","11","0.20"," [0.01, 0.40]",NA,"2.014774","0.043928"
"Moderation Analysis: Physio_binary","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.251",NA,"0.616"
"No","Decrease","Intrusion-related distress",NA,"no","2472","24","28","43","0.10"," [-0.01, 0.20]",NA,"1.787248","0.073897"
"Yes","Decrease","Intrusion-related distress",NA,"no","1409","16","16","26","0.14"," [0.00, 0.28]",NA,"1.996807","0.045846"
"Moderation Analysis: Physio_binary","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.024",NA,"0.877"
"No","Decrease","Intrusion-related distress",NA,"yes","2472","24","28","43","0.10"," [-0.00, 0.19]",NA,"1.908255","0.056358"
"Yes","Decrease","Intrusion-related distress",NA,"yes","1343","15","15","24","0.08"," [-0.05, 0.22]",NA,"1.221609","0.221856"
"Moderation Analysis: PublicationStatus","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.080",NA,"0.777"
"Published","Decrease","Intrusion-related distress",NA,"no","3555","36","40","62","0.12"," [0.03, 0.20]",NA,"2.620231","0.008787"
"Unpublished","Decrease","Intrusion-related distress",NA,"no","326","4","4","7","0.07"," [-0.22, 0.36]",NA,"0.484993","0.627681"
"Moderation Analysis: PublicationStatus","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.052",NA,"0.819"
"Published","Decrease","Intrusion-related distress",NA,"yes","3489","35","39","60","0.09"," [0.01, 0.18]",NA,"2.230773","0.025696"
"Unpublished","Decrease","Intrusion-related distress",NA,"yes","326","4","4","7","0.06"," [-0.21, 0.33]",NA,"0.436922","0.662168"
"Moderation Analysis: Country_RegionofOrigin","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"17.005",NA,"0.108"
"Australia","Decrease","Intrusion-related distress",NA,"no","280","3","3","6","0.07"," [-0.20, 0.34]",NA,"0.521742","0.601850"
"Austria","Decrease","Intrusion-related distress",NA,"no","84","1","1","1","0.18"," [-0.37, 0.72]",NA,"0.641342","0.521301"
"Belgium/Australia","Decrease","Intrusion-related distress",NA,"no","74","1","1","1","0.13"," [-0.50, 0.76]",NA,"0.412236","0.680166"
"China","Decrease","Intrusion-related distress",NA,"no","66","1","1","1","0.70"," [0.13, 1.28]",NA,"2.397419","0.016511"
"England","Decrease","Intrusion-related distress",NA,"no","757","11","11","16","0.25"," [0.08, 0.42]",NA,"2.868566","0.004123"
"Germany","Decrease","Intrusion-related distress",NA,"no","1105","9","9","14","-0.03"," [-0.17, 0.11]",NA,"-0.428443","0.668329"
"Hong Kong SAR","Decrease","Intrusion-related distress",NA,"no","240","2","3","3","0.27"," [-0.04, 0.58]",NA,"1.734761","0.082783"
"Israel","Decrease","Intrusion-related distress",NA,"no","60","1","1","1","0.46"," [-0.13, 1.05]",NA,"1.528337","0.126429"
"Netherlands","Decrease","Intrusion-related distress",NA,"no","809","7","9","17","0.07"," [-0.10, 0.23]",NA,"0.808484","0.418812"
"Sweden","Decrease","Intrusion-related distress",NA,"no","41","1","1","2","0.25"," [-0.43, 0.93]",NA,"0.715949","0.474023"
"Switzerland","Decrease","Intrusion-related distress",NA,"no","121","2","2","2","0.35"," [-0.07, 0.76]",NA,"1.640813","0.100836"
"USA","Decrease","Intrusion-related distress",NA,"no","244","2","2","5","-0.12"," [-0.42, 0.18]",NA,"-0.804868","0.420896"
"Moderation Analysis: Country_RegionofOrigin","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"11.827",NA,"0.297"
"Australia","Decrease","Intrusion-related distress",NA,"yes","280","3","3","6","0.07"," [-0.19, 0.33]",NA,"0.533563","0.593644"
"Austria","Decrease","Intrusion-related distress",NA,"yes","84","1","1","1","0.18"," [-0.36, 0.72]",NA,"0.647929","0.517031"
"Belgium/Australia","Decrease","Intrusion-related distress",NA,"yes","74","1","1","1","0.13"," [-0.49, 0.76]",NA,"0.415397","0.677852"
"England","Decrease","Intrusion-related distress",NA,"yes","757","11","11","15","0.22"," [0.05, 0.39]",NA,"2.468569","0.013565"
"Germany","Decrease","Intrusion-related distress",NA,"yes","1105","9","9","14","-0.03"," [-0.17, 0.11]",NA,"-0.431279","0.666265"
"Hong Kong SAR","Decrease","Intrusion-related distress",NA,"yes","240","2","3","3","0.27"," [-0.03, 0.57]",NA,"1.756368","0.079026"
"Israel","Decrease","Intrusion-related distress",NA,"yes","60","1","1","1","0.46"," [-0.12, 1.04]",NA,"1.541823","0.123117"
"Netherlands","Decrease","Intrusion-related distress",NA,"yes","809","7","9","17","0.07"," [-0.09, 0.23]",NA,"0.818767","0.412919"
"Sweden","Decrease","Intrusion-related distress",NA,"yes","41","1","1","2","0.25"," [-0.43, 0.93]",NA,"0.720601","0.471155"
"Switzerland","Decrease","Intrusion-related distress",NA,"yes","121","2","2","2","0.35"," [-0.06, 0.76]",NA,"1.656222","0.097677"
"USA","Decrease","Intrusion-related distress",NA,"yes","244","2","2","5","-0.12"," [-0.42, 0.17]",NA,"-0.818807","0.412897"
"Moderation Analysis: Continent","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"6.532",NA,"0.163"
"Asia","Decrease","Intrusion-related distress",NA,"no","366","4","5","5","0.38"," [0.13, 0.64]",NA,"2.929634","0.003394"
"Australia","Decrease","Intrusion-related distress",NA,"no","280","3","3","6","0.07"," [-0.21, 0.35]",NA,"0.478470","0.632316"
"Australia/europe","Decrease","Intrusion-related distress",NA,"no","74","1","1","1","0.13"," [-0.52, 0.78]",NA,"0.399681","0.689391"
"Europe","Decrease","Intrusion-related distress",NA,"no","2917","31","33","52","0.10"," [0.01, 0.19]",NA,"2.091983","0.036440"
"North america","Decrease","Intrusion-related distress",NA,"no","244","2","2","5","-0.12"," [-0.44, 0.20]",NA,"-0.753735","0.451008"
"Moderation Analysis: Continent","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"4.381",NA,"0.357"
"Asia","Decrease","Intrusion-related distress",NA,"yes","300","3","4","4","0.31"," [0.04, 0.58]",NA,"2.214568","0.026790"
"Australia","Decrease","Intrusion-related distress",NA,"yes","280","3","3","6","0.07"," [-0.20, 0.34]",NA,"0.508259","0.611272"
"Australia/europe","Decrease","Intrusion-related distress",NA,"yes","74","1","1","1","0.13"," [-0.50, 0.77]",NA,"0.408496","0.682909"
"Europe","Decrease","Intrusion-related distress",NA,"yes","2917","31","33","51","0.09"," [-0.00, 0.18]",NA,"1.912409","0.055824"
"North america","Decrease","Intrusion-related distress",NA,"yes","244","2","2","5","-0.12"," [-0.43, 0.18]",NA,"-0.788966","0.430132"
"Moderation Analysis: MeanAge","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"4.656",NA,"0.031"
"MeanAge","Decrease","Intrusion-related distress",NA,"no","3815","39","43","68","0.03"," [0.00, 0.05]",NA,"2.157717","0.030950"
"Moderation Analysis: MeanAge","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"4.923",NA,"0.026"
"MeanAge","Decrease","Intrusion-related distress",NA,"yes","3815","39","43","67","0.03"," [0.00, 0.05]",NA,"2.218817","0.026499"
"Moderation Analysis: FemaleRatio","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.080",NA,"0.777"
"FemaleRatio","Decrease","Intrusion-related distress",NA,"no","3881","40","44","69","-0.07"," [-0.59, 0.44]",NA,"-0.282671","0.777429"
"Moderation Analysis: FemaleRatio","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.374",NA,"0.541"
"FemaleRatio","Decrease","Intrusion-related distress",NA,"yes","3815","39","43","67","-0.16"," [-0.67, 0.35]",NA,"-0.611276","0.541017"
