"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Unpublished","All","Intrusion frequency","Self-report questionnaire","no","311","3","3","6","0.09"," [-0.35, 0.52]",NA,"0.397868","0.690727"
"Moderation Analysis: PublicationStatus","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.020",NA,"0.889"
"Published","All","Intrusion frequency","Self-report questionnaire","yes","1404","13","14","36","0.12"," [-0.06, 0.30]",NA,"1.278423","0.201100"
"Unpublished","All","Intrusion frequency","Self-report questionnaire","yes","311","3","3","6","0.09"," [-0.31, 0.49]",NA,"0.431087","0.666405"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"1.691",NA,"0.792"
"Australia","All","Intrusion frequency","Self-report questionnaire","no","164","2","2","4","0.32"," [-0.21, 0.86]",NA,"1.187310","0.235105"
"England","All","Intrusion frequency","Self-report questionnaire","no","408","5","5","10","0.21"," [-0.14, 0.55]",NA,"1.188657","0.234574"
"Germany","All","Intrusion frequency","Self-report questionnaire","no","299","2","2","3","0.17"," [-0.35, 0.68]",NA,"0.628609","0.529605"
"Netherlands","All","Intrusion frequency","Self-report questionnaire","no","291","3","4","15","0.13"," [-0.25, 0.51]",NA,"0.671051","0.502188"
"USA","All","Intrusion frequency","Self-report questionnaire","no","553","4","4","11","-0.06"," [-0.43, 0.32]",NA,"-0.305582","0.759923"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.584",NA,"0.812"
"Australia","All","Intrusion frequency","Self-report questionnaire","yes","164","2","2","3","0.21"," [-0.31, 0.73]",NA,"0.788636","0.430325"
"England","All","Intrusion frequency","Self-report questionnaire","yes","408","5","5","10","0.21"," [-0.11, 0.53]",NA,"1.272541","0.203181"
"Germany","All","Intrusion frequency","Self-report questionnaire","yes","299","2","2","3","0.17"," [-0.31, 0.64]",NA,"0.679978","0.496518"
"Netherlands","All","Intrusion frequency","Self-report questionnaire","yes","291","3","4","15","0.13"," [-0.23, 0.48]",NA,"0.701862","0.482765"
"USA","All","Intrusion frequency","Self-report questionnaire","yes","553","4","4","11","-0.07"," [-0.42, 0.28]",NA,"-0.391403","0.695499"
"Moderation Analysis: Continent","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.097",NA,"0.350"
"Australia","All","Intrusion frequency","Self-report questionnaire","no","164","2","2","4","0.33"," [-0.16, 0.82]",NA,"1.302825","0.192634"
"Europe","All","Intrusion frequency","Self-report questionnaire","no","998","10","11","28","0.17"," [-0.04, 0.38]",NA,"1.591029","0.111603"
"North america","All","Intrusion frequency","Self-report questionnaire","no","553","4","4","11","-0.07"," [-0.41, 0.27]",NA,"-0.412661","0.679855"
"Moderation Analysis: Continent","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.981",NA,"0.371"
"Australia","All","Intrusion frequency","Self-report questionnaire","yes","164","2","2","3","0.20"," [-0.28, 0.68]",NA,"0.827885","0.407735"
"Europe","All","Intrusion frequency","Self-report questionnaire","yes","998","10","11","28","0.17"," [-0.03, 0.36]",NA,"1.705115","0.088173"
"North america","All","Intrusion frequency","Self-report questionnaire","yes","553","4","4","11","-0.08"," [-0.40, 0.23]",NA,"-0.530812","0.595549"
"Moderation Analysis: MeanAge","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"3.233",NA,"0.072"
"MeanAge","All","Intrusion frequency","Self-report questionnaire","no","1715","16","17","43","0.04"," [-0.00, 0.09]",NA,"1.798072","0.072166"
"Moderation Analysis: MeanAge","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.488",NA,"0.115"
"MeanAge","All","Intrusion frequency","Self-report questionnaire","yes","1715","16","17","42","0.04"," [-0.01, 0.08]",NA,"1.577377","0.114709"
"Moderation Analysis: FemaleRatio","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"1.584",NA,"0.208"
"FemaleRatio","All","Intrusion frequency","Self-report questionnaire","no","1715","16","17","43","-0.64"," [-1.64, 0.36]",NA,"-1.258748","0.208121"
"Moderation Analysis: FemaleRatio","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.586",NA,"0.208"
"FemaleRatio","All","Intrusion frequency","Self-report questionnaire","yes","1715","16","17","42","-0.60"," [-1.54, 0.33]",NA,"-1.259463","0.207863"
