"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Picture","Unspecified","Intrusion symptoms",NA,"yes","179","2","2","2","0.10"," [-0.23, 0.43]",NA,"0.596234","0.551019"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"4.336",NA,"0.037"
"Experimental task","Unspecified","Intrusion symptoms",NA,"no","484","7","7","9","-0.10"," [-0.31, 0.11]",NA,"-0.919482","0.357844"
"No-task","Unspecified","Intrusion symptoms",NA,"no","977","10","10","13","0.20"," [0.02, 0.38]",NA,"2.122749","0.033775"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"1.079",NA,"0.299"
"Experimental task","Unspecified","Intrusion symptoms",NA,"yes","399","6","6","7","0.03"," [-0.18, 0.24]",NA,"0.291429","0.770723"
"No-task","Unspecified","Intrusion symptoms",NA,"yes","932","9","9","12","0.17"," [0.02, 0.33]",NA,"2.171590","0.029887"
"Moderation Analysis: TimeOfManipulation","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"14.171",NA,"0.003"
"Delayed post","Unspecified","Intrusion symptoms",NA,"no","281","4","4","6","0.02"," [-0.21, 0.26]",NA,"0.194187","0.846029"
"Immediate post","Unspecified","Intrusion symptoms",NA,"no","634","8","8","10","0.25"," [0.07, 0.43]",NA,"2.746276","0.006028"
"Peri","Unspecified","Intrusion symptoms",NA,"no","407","3","3","3","0.10"," [-0.17, 0.38]",NA,"0.737721","0.460684"
"Pre","Unspecified","Intrusion symptoms",NA,"no","139","2","2","3","-0.36"," [-0.63, -0.10]",NA,"-2.664930","0.007700"
"Moderation Analysis: TimeOfManipulation","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"1.487",NA,"0.685"
"Delayed post","Unspecified","Intrusion symptoms",NA,"yes","281","4","4","6","0.02"," [-0.21, 0.26]",NA,"0.194186","0.846030"
"Immediate post","Unspecified","Intrusion symptoms",NA,"yes","589","7","7","9","0.20"," [0.02, 0.38]",NA,"2.147818","0.031728"
"Peri","Unspecified","Intrusion symptoms",NA,"yes","407","3","3","3","0.10"," [-0.17, 0.38]",NA,"0.737719","0.460685"
"Pre","Unspecified","Intrusion symptoms",NA,"yes","54","1","1","1","0.03"," [-0.50, 0.57]",NA,"0.118511","0.905663"
"Moderation Analysis: Physio_binary","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.462",NA,"0.497"
"No","Unspecified","Intrusion symptoms",NA,"no","1407","16","16","20","0.09"," [-0.07, 0.26]",NA,"1.091416","0.275090"
"Yes","Unspecified","Intrusion symptoms",NA,"no","54","1","1","2","-0.13"," [-0.77, 0.50]",NA,"-0.415876","0.677501"
"Moderation Analysis: Physio_binary","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"1.283",NA,"0.257"
"No","Unspecified","Intrusion symptoms",NA,"yes","1277","14","14","17","0.14"," [0.01, 0.27]",NA,"2.163611","0.030494"
"Yes","Unspecified","Intrusion symptoms",NA,"yes","54","1","1","2","-0.13"," [-0.60, 0.33]",NA,"-0.569065","0.569312"
"Moderation Analysis: Country_RegionofOrigin","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"4.154",NA,"0.527"
"Australia","Unspecified","Intrusion symptoms",NA,"no","414","6","6","8","-0.04"," [-0.30, 0.22]",NA,"-0.310475","0.756200"
"England","Unspecified","Intrusion symptoms",NA,"no","72","1","1","2","0.06"," [-0.56, 0.68]",NA,"0.199913","0.841549"
"Germany","Unspecified","Intrusion symptoms",NA,"no","260","3","3","5","0.16"," [-0.18, 0.51]",NA,"0.913672","0.360889"
"Netherlands","Unspecified","Intrusion symptoms",NA,"no","391","4","4","4","0.28"," [-0.04, 0.61]",NA,"1.700505","0.089036"
"Sweden","Unspecified","Intrusion symptoms",NA,"no","41","1","1","1","-0.55"," [-1.53, 0.43]",NA,"-1.095771","0.273179"
"USA","Unspecified","Intrusion symptoms",NA,"no","283","2","2","2","0.03"," [-0.44, 0.49]",NA,"0.114026","0.909217"
"Moderation Analysis: Country_RegionofOrigin","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"5.622",NA,"0.345"
"Australia","Unspecified","Intrusion symptoms",NA,"yes","284","4","4","5","-0.01"," [-0.26, 0.24]",NA,"-0.099250","0.920939"
"England","Unspecified","Intrusion symptoms",NA,"yes","72","1","1","2","0.06"," [-0.40, 0.53]",NA,"0.267739","0.788900"
"Germany","Unspecified","Intrusion symptoms",NA,"yes","260","3","3","5","0.21"," [-0.02, 0.44]",NA,"1.797241","0.072297"
"Netherlands","Unspecified","Intrusion symptoms",NA,"yes","391","4","4","4","0.28"," [0.02, 0.53]",NA,"2.134410","0.032809"
"Sweden","Unspecified","Intrusion symptoms",NA,"yes","41","1","1","1","-0.55"," [-1.44, 0.34]",NA,"-1.206662","0.227562"
"USA","Unspecified","Intrusion symptoms",NA,"yes","283","2","2","2","0.03"," [-0.33, 0.39]",NA,"0.143456","0.885930"
"Moderation Analysis: Continent","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"1.924",NA,"0.382"
"Australia","Unspecified","Intrusion symptoms",NA,"no","414","6","6","8","-0.05"," [-0.30, 0.20]",NA,"-0.418009","0.675941"
"Europe","Unspecified","Intrusion symptoms",NA,"no","764","9","9","12","0.17"," [-0.03, 0.38]",NA,"1.644866","0.099997"
"North america","Unspecified","Intrusion symptoms",NA,"no","283","2","2","2","0.03"," [-0.42, 0.47]",NA,"0.119258","0.905071"
"Moderation Analysis: Continent","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"2.224",NA,"0.329"
"Australia","Unspecified","Intrusion symptoms",NA,"yes","284","4","4","5","-0.01"," [-0.26, 0.24]",NA,"-0.099250","0.920939"
"Europe","Unspecified","Intrusion symptoms",NA,"yes","764","9","9","12","0.20"," [0.04, 0.35]",NA,"2.432231","0.015006"
"North america","Unspecified","Intrusion symptoms",NA,"yes","283","2","2","2","0.03"," [-0.33, 0.39]",NA,"0.143456","0.885930"
"Moderation Analysis: MeanAge","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.006",NA,"0.938"
"MeanAge","Unspecified","Intrusion symptoms",NA,"no","1178","15","15","20","-0.00"," [-0.09, 0.09]",NA,"-0.077686","0.938077"
"Moderation Analysis: MeanAge","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.002",NA,"0.965"
"MeanAge","Unspecified","Intrusion symptoms",NA,"yes","1048","13","13","17","-0.00"," [-0.07, 0.07]",NA,"-0.044136","0.964796"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"2.764",NA,"0.096"
"FemaleRatio","Unspecified","Intrusion symptoms",NA,"no","1461","17","17","22","0.92"," [-0.16, 2.01]",NA,"1.662534","0.096406"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"1.684",NA,"0.194"
"FemaleRatio","Unspecified","Intrusion symptoms",NA,"yes","1331","15","15","19","0.60"," [-0.31, 1.51]",NA,"1.297583","0.194431"
