"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Indirect + direct","Increase","Intrusion-related distress",NA,"no","200","2","2","4","-0.09"," [-0.50, 0.32]",NA,"-0.443606","0.657327"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.926",NA,"0.819"
"Direct","Increase","Intrusion-related distress",NA,"yes","985","10","11","21","-0.09"," [-0.24, 0.05]",NA,"-1.264692","0.205982"
"Direct + indirect","Increase","Intrusion-related distress",NA,"yes","114","1","1","1","-0.32"," [-0.85, 0.21]",NA,"-1.185794","0.235704"
"Indirect","Increase","Intrusion-related distress",NA,"yes","656","9","10","16","-0.15"," [-0.32, 0.02]",NA,"-1.677919","0.093363"
"Indirect + direct","Increase","Intrusion-related distress",NA,"yes","200","2","2","4","-0.04"," [-0.39, 0.31]",NA,"-0.235144","0.814097"
"Moderation Analysis: Step4b_Task_Instruction","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.860",NA,"0.650"
"Instruction","Increase","Intrusion-related distress",NA,"no","584","6","6","8","-0.16"," [-0.43, 0.11]",NA,"-1.167497","0.243010"
"Task","Increase","Intrusion-related distress",NA,"no","1233","15","17","32","-0.18"," [-0.32, -0.03]",NA,"-2.426997","0.015224"
"Task+instruction","Increase","Intrusion-related distress",NA,"no","120","1","1","3","0.05"," [-0.42, 0.52]",NA,"0.219690","0.826113"
"Moderation Analysis: Step4b_Task_Instruction","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.394",NA,"0.498"
"Instruction","Increase","Intrusion-related distress",NA,"yes","584","6","6","8","-0.17"," [-0.39, 0.06]",NA,"-1.414712","0.157153"
"Task","Increase","Intrusion-related distress",NA,"yes","1194","14","16","31","-0.12"," [-0.23, -0.01]",NA,"-2.068877","0.038558"
"Task+instruction","Increase","Intrusion-related distress",NA,"yes","120","1","1","3","0.10"," [-0.29, 0.49]",NA,"0.481387","0.630241"
"Moderation Analysis: TraumaStimuliType","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"26.482",NA,"0.000"
"Audio","Increase","Intrusion-related distress",NA,"no","60","1","1","2","-0.49"," [-0.96, -0.03]",NA,"-2.065002","0.038923"
"Computer crash","Increase","Intrusion-related distress",NA,"no","39","1","1","1","-1.86"," [-2.63, -1.10]",NA,"-4.764779","0.000002"
"Film","Increase","Intrusion-related distress",NA,"no","1875","20","22","41","-0.11"," [-0.20, -0.02]",NA,"-2.464832","0.013708"
"Picture","Increase","Intrusion-related distress",NA,"no","216","2","2","2","0.20"," [-0.11, 0.52]",NA,"1.282402","0.199702"
"Moderation Analysis: TraumaStimuliType","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"6.437",NA,"0.040"
"Audio","Increase","Intrusion-related distress",NA,"yes","60","1","1","2","-0.49"," [-0.96, -0.03]",NA,"-2.065002","0.038923"
"Film","Increase","Intrusion-related distress",NA,"yes","1875","20","22","41","-0.11"," [-0.20, -0.02]",NA,"-2.464832","0.013708"
"Picture","Increase","Intrusion-related distress",NA,"yes","216","2","2","2","0.20"," [-0.11, 0.52]",NA,"1.282402","0.199702"
"Moderation Analysis: ComparisonType","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.124",NA,"0.724"
"Experimental task","Increase","Intrusion-related distress",NA,"no","1160","12","14","28","-0.13"," [-0.27, 0.02]",NA,"-1.740006","0.081858"
"No-task","Increase","Intrusion-related distress",NA,"no","1030","12","12","18","-0.17"," [-0.35, 0.01]",NA,"-1.847712","0.064644"
"Moderation Analysis: ComparisonType","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.204",NA,"0.651"
"Experimental task","Increase","Intrusion-related distress",NA,"yes","1160","12","14","28","-0.12"," [-0.23, -0.01]",NA,"-2.081669","0.037373"
"No-task","Increase","Intrusion-related distress",NA,"yes","991","11","11","17","-0.08"," [-0.23, 0.08]",NA,"-0.964234","0.334929"
"Moderation Analysis: ModeOfMeasurement","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"2.692",NA,"0.260"
"Intrusion diary","Increase","Intrusion-related distress",NA,"no","1926","21","23","29","-0.14"," [-0.26, -0.02]",NA,"-2.325797","0.020029"
"Lab-based intrusion monitoring task","Increase","Intrusion-related distress",NA,"no","262","3","4","12","-0.04"," [-0.25, 0.17]",NA,"-0.375950","0.706954"
"Self-report questionnaire","Increase","Intrusion-related distress",NA,"no","313","4","4","5","-0.30"," [-0.57, -0.04]",NA,"-2.233832","0.025494"
"Moderation Analysis: ModeOfMeasurement","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"3.608",NA,"0.165"
"Intrusion diary","Increase","Intrusion-related distress",NA,"yes","1887","20","22","28","-0.10"," [-0.21, -0.00]",NA,"-1.961889","0.049775"
"Lab-based intrusion monitoring task","Increase","Intrusion-related distress",NA,"yes","262","3","4","12","-0.01"," [-0.18, 0.17]",NA,"-0.092513","0.926290"
"Self-report questionnaire","Increase","Intrusion-related distress",NA,"yes","313","4","4","5","-0.29"," [-0.53, -0.05]",NA,"-2.334852","0.019551"
"Moderation Analysis: TimeOfManipulation","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"3.094",NA,"0.377"
"Immediate + delayed post","Increase","Intrusion-related distress",NA,"no","139","2","2","4","-0.41"," [-0.77, -0.05]",NA,"-2.215644","0.026716"
"Immediate post","Increase","Intrusion-related distress",NA,"no","822","10","11","23","-0.17"," [-0.33, -0.00]",NA,"-1.986258","0.047005"
"Peri","Increase","Intrusion-related distress",NA,"no","680","8","8","11","-0.08"," [-0.30, 0.13]",NA,"-0.738576","0.460164"
"Pre","Increase","Intrusion-related distress",NA,"no","630","6","6","8","-0.06"," [-0.27, 0.15]",NA,"-0.543305","0.586920"
"Moderation Analysis: TimeOfManipulation","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"5.546",NA,"0.136"
"Immediate + delayed post","Increase","Intrusion-related distress",NA,"yes","139","2","2","4","-0.41"," [-0.68, -0.14]",NA,"-2.962934","0.003047"
"Immediate post","Increase","Intrusion-related distress",NA,"yes","783","9","10","22","-0.07"," [-0.19, 0.05]",NA,"-1.098286","0.272079"
"Peri","Increase","Intrusion-related distress",NA,"yes","680","8","8","11","-0.08"," [-0.26, 0.10]",NA,"-0.879439","0.379163"
"Pre","Increase","Intrusion-related distress",NA,"yes","630","6","6","8","-0.06"," [-0.23, 0.11]",NA,"-0.719992","0.471530"
"Moderation Analysis: Physio_binary","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.132",NA,"0.716"
"No","Increase","Intrusion-related distress",NA,"no","1555","17","18","31","-0.13"," [-0.26, 0.01]",NA,"-1.858274","0.063130"
"Yes","Increase","Intrusion-related distress",NA,"no","635","8","8","15","-0.17"," [-0.36, 0.02]",NA,"-1.758397","0.078680"
"Moderation Analysis: Physio_binary","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.896",NA,"0.344"
"No","Increase","Intrusion-related distress",NA,"yes","1516","16","17","30","-0.07"," [-0.19, 0.04]",NA,"-1.245382","0.212991"
"Yes","Increase","Intrusion-related distress",NA,"yes","635","8","8","15","-0.16"," [-0.31, -0.01]",NA,"-2.114308","0.034489"
"Moderation Analysis: PublicationStatus","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.148",NA,"0.284"
"Published","Increase","Intrusion-related distress",NA,"no","2052","22","24","42","-0.12"," [-0.23, -0.01]",NA,"-2.165580","0.030343"
"Unpublished","Increase","Intrusion-related distress",NA,"no","138","2","2","4","-0.32"," [-0.66, 0.03]",NA,"-1.807306","0.070715"
"Moderation Analysis: PublicationStatus","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"3.007",NA,"0.083"
"Published","Increase","Intrusion-related distress",NA,"yes","2013","21","23","41","-0.08"," [-0.16, 0.01]",NA,"-1.745609","0.080879"
"Unpublished","Increase","Intrusion-related distress",NA,"yes","138","2","2","4","-0.33"," [-0.60, -0.06]",NA,"-2.374086","0.017592"
"Moderation Analysis: Country_RegionofOrigin","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"18.193",NA,"0.011"
"Australia","Increase","Intrusion-related distress",NA,"no","791","8","9","24","0.02"," [-0.10, 0.14]",NA,"0.314964","0.752789"
"Belgium/Australia","Increase","Intrusion-related distress",NA,"no","74","1","1","1","-0.06"," [-0.66, 0.54]",NA,"-0.188141","0.850766"
"England","Increase","Intrusion-related distress",NA,"no","427","7","7","10","-0.26"," [-0.45, -0.07]",NA,"-2.717473","0.006578"
"Germany","Increase","Intrusion-related distress",NA,"no","319","2","2","2","-0.10"," [-0.36, 0.17]",NA,"-0.694760","0.487206"
"Netherlands","Increase","Intrusion-related distress",NA,"no","216","3","3","4","-0.53"," [-0.81, -0.25]",NA,"-3.724737","0.000196"
"New Zealand","Increase","Intrusion-related distress",NA,"no","60","1","1","2","-0.49"," [-0.96, -0.02]",NA,"-2.056832","0.039702"
"Scotland","Increase","Intrusion-related distress",NA,"no","38","1","1","1","-0.14"," [-0.79, 0.52]",NA,"-0.405516","0.685098"
"USA","Increase","Intrusion-related distress",NA,"no","265","2","2","2","-0.06"," [-0.43, 0.32]",NA,"-0.300603","0.763717"
"Moderation Analysis: Country_RegionofOrigin","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"13.683",NA,"0.057"
"Australia","Increase","Intrusion-related distress",NA,"yes","791","8","9","24","0.02"," [-0.09, 0.12]",NA,"0.300032","0.764153"
"Belgium/Australia","Increase","Intrusion-related distress",NA,"yes","74","1","1","1","-0.06"," [-0.64, 0.52]",NA,"-0.194390","0.845870"
"England","Increase","Intrusion-related distress",NA,"yes","427","7","7","10","-0.27"," [-0.45, -0.09]",NA,"-2.961697","0.003059"
"Germany","Increase","Intrusion-related distress",NA,"yes","319","2","2","2","-0.09"," [-0.33, 0.15]",NA,"-0.747184","0.454952"
"Netherlands","Increase","Intrusion-related distress",NA,"yes","177","2","2","3","-0.33"," [-0.61, -0.05]",NA,"-2.298949","0.021508"
"New Zealand","Increase","Intrusion-related distress",NA,"yes","60","1","1","2","-0.49"," [-0.94, -0.05]",NA,"-2.170957","0.029934"
"Scotland","Increase","Intrusion-related distress",NA,"yes","38","1","1","1","-0.14"," [-0.77, 0.50]",NA,"-0.416675","0.676916"
"USA","Increase","Intrusion-related distress",NA,"yes","265","2","2","2","-0.06"," [-0.42, 0.30]",NA,"-0.334096","0.738307"
"Moderation Analysis: Continent","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"7.532",NA,"0.057"
"Australia","Increase","Intrusion-related distress",NA,"no","851","9","10","26","-0.01"," [-0.15, 0.12]",NA,"-0.213053","0.831286"
"Australia/europe","Increase","Intrusion-related distress",NA,"no","74","1","1","1","-0.06"," [-0.68, 0.56]",NA,"-0.181021","0.856351"
"Europe","Increase","Intrusion-related distress",NA,"no","1000","13","13","17","-0.28"," [-0.42, -0.14]",NA,"-3.869152","0.000109"
"North america","Increase","Intrusion-related distress",NA,"no","265","2","2","2","-0.05"," [-0.45, 0.34]",NA,"-0.266390","0.789939"
"Moderation Analysis: Continent","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"6.551",NA,"0.088"
"Australia","Increase","Intrusion-related distress",NA,"yes","851","9","10","26","-0.01"," [-0.12, 0.10]",NA,"-0.208937","0.834497"
"Australia/europe","Increase","Intrusion-related distress",NA,"yes","74","1","1","1","-0.06"," [-0.64, 0.53]",NA,"-0.192616","0.847259"
"Europe","Increase","Intrusion-related distress",NA,"yes","961","12","12","16","-0.23"," [-0.36, -0.10]",NA,"-3.502062","0.000462"
"North america","Increase","Intrusion-related distress",NA,"yes","265","2","2","2","-0.06"," [-0.43, 0.30]",NA,"-0.324237","0.745759"
"Moderation Analysis: MeanAge","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.077",NA,"0.781"
"MeanAge","Increase","Intrusion-related distress",NA,"no","1940","22","24","44","0.01"," [-0.03, 0.04]",NA,"0.277997","0.781015"
"Moderation Analysis: MeanAge","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.077",NA,"0.781"
"MeanAge","Increase","Intrusion-related distress",NA,"yes","1940","22","24","44","0.01"," [-0.03, 0.04]",NA,"0.277997","0.781015"
"Moderation Analysis: FemaleRatio","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.102",NA,"0.749"
"FemaleRatio","Increase","Intrusion-related distress",NA,"no","2190","24","26","46","0.07"," [-0.38, 0.53]",NA,"0.319801","0.749119"
"Moderation Analysis: FemaleRatio","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.013",NA,"0.911"
"FemaleRatio","Increase","Intrusion-related distress",NA,"yes","2151","23","25","45","0.02"," [-0.35, 0.39]",NA,"0.112053","0.910781"
